streak_dipper v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 301.1 MB
streak_dipper v8 446 games, 364274 moves, e=0.639, loss: 11.6, -, 11.7% elo% vs. simple_bot, avg. reward: -9.713, 1.497 sec/game, 9.9 min. total, 525.1 MB
streak_dipper v8 447 games, 365144 moves, e=0.639, loss: 11.5, -, 11.4% elo% vs. simple_bot, avg. reward: -9.726, 1.495 sec/game, 9.9 min. total, 523.9 MB
streak_dipper v8 448 games, 366060 moves, e=0.638, loss: 11.8, -, 11.2% elo% vs. simple_bot, avg. reward: -9.727, 1.485 sec/game, 9.9 min. total, 525.2 MB
streak_dipper v8 449 games, 367025 moves, e=0.637, loss: 11.8, -, 11.0% elo% vs. simple_bot, avg. reward: -9.704, 1.492 sec/game, 9.9 min. total, 525.9 MB
streak_dipper v8 450 games, 367966 moves, e=0.636, loss: 11.2, -, 10.8% elo% vs. simple_bot, avg. reward: -9.682, 1.492 sec/game, 10.0 min. total, 524.6 MB
streak_dipper v8 451 games, 369031 moves, e=0.635, loss: 10.8, -, 10.6% elo% vs. simple_bot, avg. reward: -9.648, 1.511 sec/game, 10.0 min. total, 525.7 MB
streak_dipper v8 452 games, 370090 moves, e=0.634, loss: 10.7, -, 10.4% elo% vs. simple_bot, avg. reward: -9.641, 1.523 sec/game, 10.0 min. total, 525.3 MB
streak_dipper v8 453 games, 371126 moves, e=0.633, loss: 11.1, -, 10.3% elo% vs. simple_bot, avg. reward: -9.616, 1.527 sec/game, 10.0 min. total, 526.2 MB
streak_dipper v8 454 games, 372083 moves, e=0.632, loss: 11.2, -, 10.1% elo% vs. simple_bot, avg. reward: -9.615, 1.537 sec/game, 10.1 min. total, 527.7 MB
streak_dipper v8 455 games, 373051 moves, e=0.631, loss: 10.9, -, 9.9% elo% vs. simple_bot, avg. reward: -9.603, 1.546 sec/game, 10.1 min. total, 527.8 MB
streak_dipper v8 456 games, 374291 moves, e=0.629, loss: 11.1, -, 9.8% elo% vs. simple_bot, avg. reward: -9.583, 1.573 sec/game, 10.1 min. total, 528.9 MB
streak_dipper v8 457 games, 375299 moves, e=0.628, loss: 11.2, -, 9.6% elo% vs. simple_bot, avg. reward: -9.566, 1.585 sec/game, 10.2 min. total, 526.8 MB
streak_dipper v8 458 games, 376306 moves, e=0.627, loss: 11.4, -, 9.5% elo% vs. simple_bot, avg. reward: -9.560, 1.585 sec/game, 10.2 min. total, 526.7 MB
streak_dipper v8 459 games, 377200 moves, e=0.627, loss: 11.2, -, 9.3% elo% vs. simple_bot, avg. reward: -9.563, 1.575 sec/game, 10.2 min. total, 529.0 MB
streak_dipper v8 460 games, 378276 moves, e=0.626, loss: 11.6, -, 9.2% elo% vs. simple_bot, avg. reward: -9.545, 1.604 sec/game, 10.2 min. total, 529.0 MB
streak_dipper v8 461 games, 379211 moves, e=0.625, loss: 11.5, -, 9.0% elo% vs. simple_bot, avg. reward: -9.540, 1.604 sec/game, 10.3 min. total, 531.1 MB
streak_dipper v8 462 games, 380132 moves, e=0.624, loss: 11.3, -, 8.9% elo% vs. simple_bot, avg. reward: -9.547, 1.611 sec/game, 10.3 min. total, 529.6 MB
streak_dipper v8 463 games, 381091 moves, e=0.623, loss: 11.1, -, 8.8% elo% vs. simple_bot, avg. reward: -9.547, 1.613 sec/game, 10.3 min. total, 529.9 MB
streak_dipper v8 464 games, 382221 moves, e=0.622, loss: 11.0, -, 8.6% elo% vs. simple_bot, avg. reward: -9.529, 1.633 sec/game, 10.4 min. total, 531.2 MB
streak_dipper v8 465 games, 383091 moves, e=0.621, loss: 11.7, -, 8.5% elo% vs. simple_bot, avg. reward: -9.533, 1.625 sec/game, 10.4 min. total, 530.8 MB
streak_dipper v8 466 games, 384080 moves, e=0.620, loss: 11.1, -, 8.4% elo% vs. simple_bot, avg. reward: -9.489, 1.621 sec/game, 10.4 min. total, 530.8 MB
streak_dipper v8 467 games, 384992 moves, e=0.619, loss: 10.4, -, 8.3% elo% vs. simple_bot, avg. reward: -9.479, 1.623 sec/game, 10.4 min. total, 530.8 MB
streak_dipper v8 468 games, 385987 moves, e=0.618, loss: 11.6, -, 8.1% elo% vs. simple_bot, avg. reward: -9.472, 1.633 sec/game, 10.5 min. total, 532.6 MB
streak_dipper v8 469 games, 386916 moves, e=0.617, loss: 11.9, -, 8.0% elo% vs. simple_bot, avg. reward: -9.448, 1.627 sec/game, 10.5 min. total, 530.1 MB
streak_dipper v8 470 games, 388036 moves, e=0.616, loss: 11.4, -, 7.9% elo% vs. simple_bot, avg. reward: -9.427, 1.646 sec/game, 10.5 min. total, 531.7 MB
streak_dipper v8 471 games, 388954 moves, e=0.615, loss: 11.7, -, 7.8% elo% vs. simple_bot, avg. reward: -9.418, 1.632 sec/game, 10.5 min. total, 531.7 MB
streak_dipper v8 472 games, 389939 moves, e=0.614, loss: 12.2, -, 7.7% elo% vs. simple_bot, avg. reward: -9.395, 1.630 sec/game, 10.6 min. total, 531.8 MB
streak_dipper v8 473 games, 390919 moves, e=0.613, loss: 11.6, -, 7.6% elo% vs. simple_bot, avg. reward: -9.387, 1.627 sec/game, 10.6 min. total, 531.3 MB
streak_dipper v8 474 games, 391919 moves, e=0.612, loss: 11.9, -, 7.5% elo% vs. simple_bot, avg. reward: -9.371, 1.627 sec/game, 10.6 min. total, 531.8 MB
streak_dipper v8 475 games, 392861 moves, e=0.611, loss: 12.0, -, 7.4% elo% vs. simple_bot, avg. reward: -9.373, 1.627 sec/game, 10.6 min. total, 533.8 MB
streak_dipper v8 476 games, 393718 moves, e=0.610, loss: 12.3, -, 7.3% elo% vs. simple_bot, avg. reward: -9.345, 1.593 sec/game, 10.7 min. total, 532.8 MB
streak_dipper v8 477 games, 394755 moves, e=0.609, loss: 12.2, -, 7.2% elo% vs. simple_bot, avg. reward: -9.331, 1.599 sec/game, 10.7 min. total, 533.2 MB
streak_dipper v8 478 games, 395670 moves, e=0.608, loss: 11.4, -, 7.2% elo% vs. simple_bot, avg. reward: -9.334, 1.599 sec/game, 10.7 min. total, 533.9 MB
streak_dipper v8 479 games, 396634 moves, e=0.607, loss: 12.1, -, 7.1% elo% vs. simple_bot, avg. reward: -9.304, 1.606 sec/game, 10.7 min. total, 535.8 MB
streak_dipper v8 480 games, 397722 moves, e=0.606, loss: 11.8, -, 7.0% elo% vs. simple_bot, avg. reward: -9.273, 1.607 sec/game, 10.8 min. total, 535.4 MB
streak_dipper v8 481 games, 398737 moves, e=0.605, loss: 11.6, -, 6.9% elo% vs. simple_bot, avg. reward: -9.264, 1.618 sec/game, 10.8 min. total, 535.0 MB
streak_dipper v8 482 games, 399772 moves, e=0.604, loss: 11.0, -, 6.8% elo% vs. simple_bot, avg. reward: -9.233, 1.623 sec/game, 10.8 min. total, 535.4 MB
streak_dipper v8 483 games, 400770 moves, e=0.603, loss: 10.9, -, 6.7% elo% vs. simple_bot, avg. reward: -9.217, 1.623 sec/game, 10.9 min. total, 535.2 MB
streak_dipper v8 484 games, 401782 moves, e=0.602, loss: 11.3, -, 6.7% elo% vs. simple_bot, avg. reward: -9.202, 1.606 sec/game, 10.9 min. total, 535.4 MB
streak_dipper v8 485 games, 402734 moves, e=0.601, loss: 11.1, -, 6.6% elo% vs. simple_bot, avg. reward: -9.191, 1.629 sec/game, 10.9 min. total, 536.1 MB
streak_dipper v8 486 games, 403753 moves, e=0.600, loss: 12.0, -, 6.5% elo% vs. simple_bot, avg. reward: -9.175, 1.628 sec/game, 10.9 min. total, 536.0 MB
streak_dipper v8 487 games, 404715 moves, e=0.599, loss: 11.5, -, 6.4% elo% vs. simple_bot, avg. reward: -9.151, 1.628 sec/game, 11.0 min. total, 536.2 MB
streak_dipper v8 488 games, 405768 moves, e=0.598, loss: 11.3, -, 6.4% elo% vs. simple_bot, avg. reward: -9.116, 1.638 sec/game, 11.0 min. total, 535.3 MB
streak_dipper v8 489 games, 406668 moves, e=0.597, loss: 11.8, -, 6.3% elo% vs. simple_bot, avg. reward: -9.124, 1.635 sec/game, 11.0 min. total, 536.2 MB
streak_dipper v8 490 games, 407583 moves, e=0.596, loss: 10.9, -, 6.2% elo% vs. simple_bot, avg. reward: -9.114, 1.619 sec/game, 11.0 min. total, 536.5 MB
streak_dipper v8 491 games, 408673 moves, e=0.595, loss: 11.2, -, 6.2% elo% vs. simple_bot, avg. reward: -9.103, 1.626 sec/game, 11.1 min. total, 536.0 MB
streak_dipper v8 492 games, 409754 moves, e=0.594, loss: 11.5, -, 6.1% elo% vs. simple_bot, avg. reward: -9.083, 1.636 sec/game, 11.1 min. total, 537.3 MB
streak_dipper v8 493 games, 410730 moves, e=0.593, loss: 11.8, -, 6.0% elo% vs. simple_bot, avg. reward: -9.075, 1.626 sec/game, 11.1 min. total, 536.4 MB
streak_dipper v8 494 games, 411704 moves, e=0.592, loss: 11.0, -, 6.0% elo% vs. simple_bot, avg. reward: -9.049, 1.634 sec/game, 11.2 min. total, 539.2 MB
streak_dipper v8 495 games, 412765 moves, e=0.591, loss: 10.5, -, 5.9% elo% vs. simple_bot, avg. reward: -9.028, 1.634 sec/game, 11.2 min. total, 537.8 MB
streak_dipper v8 496 games, 413852 moves, e=0.590, loss: 10.9, -, 5.8% elo% vs. simple_bot, avg. reward: -9.033, 1.661 sec/game, 11.2 min. total, 537.8 MB
streak_dipper v8 497 games, 414883 moves, e=0.589, loss: 10.3, -, 5.8% elo% vs. simple_bot, avg. reward: -9.005, 1.654 sec/game, 11.2 min. total, 536.6 MB
streak_dipper v8 498 games, 415917 moves, e=0.588, loss: 11.2, -, 5.7% elo% vs. simple_bot, avg. reward: -9.009, 1.665 sec/game, 11.3 min. total, 536.6 MB
streak_dipper v8 499 games, 416989 moves, e=0.587, loss: 10.8, -, 5.7% elo% vs. simple_bot, avg. reward: -8.991, 1.669 sec/game, 11.3 min. total, 538.8 MB
streak_dipper v8 500 games, 418215 moves, e=0.586, loss: 11.2, -, 5.6% elo% vs. simple_bot, avg. reward: -8.953, 1.677 sec/game, 11.3 min. total, 539.2 MB
streak_dipper v9 501 games, 419312 moves, e=0.585, loss: 11.5, -, 47.7% elo% vs. simple_bot, avg. reward: -8.919, 1.682 sec/game, 11.4 min. total, 540.3 MB
streak_dipper v9 502 games, 420380 moves, e=0.584, loss: 11.8, -, 45.5% elo% vs. simple_bot, avg. reward: -8.903, 1.687 sec/game, 11.4 min. total, 540.9 MB
streak_dipper v9 503 games, 421428 moves, e=0.583, loss: 13.1, -, 43.4% elo% vs. simple_bot, avg. reward: -8.877, 1.687 sec/game, 11.4 min. total, 540.5 MB
streak_dipper v9 504 games, 422327 moves, e=0.582, loss: 12.6, -, 41.5% elo% vs. simple_bot, avg. reward: -8.873, 1.688 sec/game, 11.5 min. total, 540.4 MB
streak_dipper v9 505 games, 423448 moves, e=0.581, loss: 12.9, -, 39.6% elo% vs. simple_bot, avg. reward: -8.838, 1.691 sec/game, 11.5 min. total, 540.0 MB
streak_dipper v9 506 games, 424632 moves, e=0.580, loss: 12.9, -, 37.9% elo% vs. simple_bot, avg. reward: -8.816, 1.702 sec/game, 11.5 min. total, 540.4 MB
streak_dipper v9 507 games, 425578 moves, e=0.579, loss: 13.2, -, 36.3% elo% vs. simple_bot, avg. reward: -8.805, 1.701 sec/game, 11.5 min. total, 541.4 MB
streak_dipper v9 508 games, 426511 moves, e=0.578, loss: 12.7, -, 34.8% elo% vs. simple_bot, avg. reward: -8.808, 1.691 sec/game, 11.6 min. total, 543.0 MB
streak_dipper v9 509 games, 427339 moves, e=0.577, loss: 11.7, -, 33.3% elo% vs. simple_bot, avg. reward: -8.831, 1.687 sec/game, 11.6 min. total, 542.8 MB
streak_dipper v9 510 games, 428286 moves, e=0.576, loss: 12.5, -, 32.0% elo% vs. simple_bot, avg. reward: -8.838, 1.689 sec/game, 11.6 min. total, 541.4 MB
streak_dipper v9 511 games, 429284 moves, e=0.575, loss: 12.5, -, 30.7% elo% vs. simple_bot, avg. reward: -8.832, 1.689 sec/game, 11.6 min. total, 542.3 MB
streak_dipper v9 512 games, 430243 moves, e=0.574, loss: 11.9, -, 29.5% elo% vs. simple_bot, avg. reward: -8.829, 1.682 sec/game, 11.7 min. total, 543.3 MB
streak_dipper v9 513 games, 431280 moves, e=0.573, loss: 11.7, -, 28.4% elo% vs. simple_bot, avg. reward: -8.808, 1.691 sec/game, 11.7 min. total, 543.7 MB
streak_dipper v9 514 games, 432406 moves, e=0.572, loss: 11.5, -, 27.3% elo% vs. simple_bot, avg. reward: -8.801, 1.701 sec/game, 11.7 min. total, 542.9 MB
streak_dipper v9 515 games, 433533 moves, e=0.571, loss: 12.0, -, 26.4% elo% vs. simple_bot, avg. reward: -8.763, 1.705 sec/game, 11.8 min. total, 543.0 MB
streak_dipper v9 516 games, 434506 moves, e=0.570, loss: 12.2, -, 25.4% elo% vs. simple_bot, avg. reward: -8.752, 1.701 sec/game, 11.8 min. total, 542.8 MB
streak_dipper v9 517 games, 435378 moves, e=0.569, loss: 11.9, -, 24.5% elo% vs. simple_bot, avg. reward: -8.759, 1.693 sec/game, 11.8 min. total, 543.7 MB
streak_dipper v9 518 games, 436386 moves, e=0.568, loss: 11.8, -, 23.7% elo% vs. simple_bot, avg. reward: -8.755, 1.691 sec/game, 11.8 min. total, 542.8 MB
streak_dipper v9 519 games, 437597 moves, e=0.567, loss: 11.8, -, 22.9% elo% vs. simple_bot, avg. reward: -8.728, 1.700 sec/game, 11.9 min. total, 543.9 MB
streak_dipper v9 520 games, 438751 moves, e=0.566, loss: 11.9, -, 22.2% elo% vs. simple_bot, avg. reward: -8.719, 1.691 sec/game, 11.9 min. total, 543.5 MB
streak_dipper v9 521 games, 439831 moves, e=0.565, loss: 11.1, -, 21.5% elo% vs. simple_bot, avg. reward: -8.704, 1.692 sec/game, 11.9 min. total, 544.3 MB
streak_dipper v9 522 games, 440981 moves, e=0.563, loss: 11.8, -, 20.8% elo% vs. simple_bot, avg. reward: -8.689, 1.694 sec/game, 12.0 min. total, 546.3 MB
streak_dipper v9 523 games, 442156 moves, e=0.562, loss: 11.4, -, 20.2% elo% vs. simple_bot, avg. reward: -8.647, 1.712 sec/game, 12.0 min. total, 545.9 MB
streak_dipper v9 524 games, 443188 moves, e=0.561, loss: 11.0, -, 19.6% elo% vs. simple_bot, avg. reward: -8.636, 1.722 sec/game, 12.0 min. total, 545.1 MB
streak_dipper v9 525 games, 444283 moves, e=0.560, loss: 11.0, -, 19.1% elo% vs. simple_bot, avg. reward: -8.613, 1.715 sec/game, 12.1 min. total, 547.5 MB
streak_dipper v9 526 games, 445470 moves, e=0.559, loss: 11.6, -, 18.5% elo% vs. simple_bot, avg. reward: -8.566, 1.723 sec/game, 12.1 min. total, 546.3 MB
streak_dipper v9 527 games, 446566 moves, e=0.558, loss: 11.9, -, 18.0% elo% vs. simple_bot, avg. reward: -8.542, 1.732 sec/game, 12.1 min. total, 547.5 MB
streak_dipper v9 528 games, 447717 moves, e=0.557, loss: 13.2, -, 17.5% elo% vs. simple_bot, avg. reward: -8.531, 1.741 sec/game, 12.1 min. total, 546.7 MB
streak_dipper v9 529 games, 448714 moves, e=0.556, loss: 12.9, -, 17.1% elo% vs. simple_bot, avg. reward: -8.518, 1.756 sec/game, 12.2 min. total, 546.7 MB
streak_dipper v9 530 games, 449778 moves, e=0.555, loss: 12.2, -, 16.6% elo% vs. simple_bot, avg. reward: -8.496, 1.763 sec/game, 12.2 min. total, 546.6 MB
streak_dipper v9 531 games, 450913 moves, e=0.554, loss: 12.3, -, 16.2% elo% vs. simple_bot, avg. reward: -8.470, 1.768 sec/game, 12.2 min. total, 547.1 MB
streak_dipper v9 532 games, 451917 moves, e=0.553, loss: 11.3, -, 15.8% elo% vs. simple_bot, avg. reward: -8.452, 1.765 sec/game, 12.3 min. total, 548.2 MB
streak_dipper v9 533 games, 453077 moves, e=0.551, loss: 11.7, -, 15.4% elo% vs. simple_bot, avg. reward: -8.428, 1.776 sec/game, 12.3 min. total, 548.7 MB
streak_dipper v9 534 games, 454252 moves, e=0.550, loss: 12.5, -, 15.1% elo% vs. simple_bot, avg. reward: -8.396, 1.775 sec/game, 12.3 min. total, 549.7 MB
streak_dipper v9 535 games, 455077 moves, e=0.549, loss: 12.4, -, 14.7% elo% vs. simple_bot, avg. reward: -8.388, 1.766 sec/game, 12.3 min. total, 549.0 MB
streak_dipper v9 536 games, 456189 moves, e=0.548, loss: 12.5, -, 14.4% elo% vs. simple_bot, avg. reward: -8.372, 1.759 sec/game, 12.4 min. total, 549.4 MB
streak_dipper v9 537 games, 457432 moves, e=0.547, loss: 10.9, -, 14.0% elo% vs. simple_bot, avg. reward: -8.337, 1.785 sec/game, 12.4 min. total, 551.4 MB
streak_dipper v9 538 games, 458546 moves, e=0.546, loss: 10.9, -, 13.7% elo% vs. simple_bot, avg. reward: -8.324, 1.798 sec/game, 12.4 min. total, 548.2 MB
streak_dipper v9 539 games, 459591 moves, e=0.545, loss: 10.6, -, 13.4% elo% vs. simple_bot, avg. reward: -8.305, 1.789 sec/game, 12.5 min. total, 551.8 MB
streak_dipper v9 540 games, 460635 moves, e=0.544, loss: 10.6, -, 13.1% elo% vs. simple_bot, avg. reward: -8.261, 1.781 sec/game, 12.5 min. total, 549.6 MB
streak_dipper v9 541 games, 461557 moves, e=0.543, loss: 11.3, -, 12.9% elo% vs. simple_bot, avg. reward: -8.261, 1.763 sec/game, 12.5 min. total, 551.5 MB
streak_dipper v9 542 games, 462755 moves, e=0.542, loss: 11.8, -, 12.6% elo% vs. simple_bot, avg. reward: -8.226, 1.773 sec/game, 12.6 min. total, 550.7 MB
streak_dipper v9 543 games, 463777 moves, e=0.541, loss: 12.4, -, 12.4% elo% vs. simple_bot, avg. reward: -8.218, 1.754 sec/game, 12.6 min. total, 549.3 MB
streak_dipper v9 544 games, 464880 moves, e=0.540, loss: 12.9, -, 12.1% elo% vs. simple_bot, avg. reward: -8.193, 1.753 sec/game, 12.6 min. total, 550.3 MB
streak_dipper v9 545 games, 465897 moves, e=0.539, loss: 12.5, -, 11.9% elo% vs. simple_bot, avg. reward: -8.180, 1.753 sec/game, 12.6 min. total, 552.4 MB
streak_dipper v9 546 games, 466839 moves, e=0.538, loss: 12.4, -, 11.7% elo% vs. simple_bot, avg. reward: -8.190, 1.738 sec/game, 12.7 min. total, 551.2 MB
streak_dipper v9 547 games, 467869 moves, e=0.537, loss: 12.3, -, 11.4% elo% vs. simple_bot, avg. reward: -8.159, 1.739 sec/game, 12.7 min. total, 552.1 MB
streak_dipper v9 548 games, 468865 moves, e=0.536, loss: 13.3, -, 11.2% elo% vs. simple_bot, avg. reward: -8.141, 1.731 sec/game, 12.7 min. total, 551.7 MB
streak_dipper v9 549 games, 470031 moves, e=0.535, loss: 13.4, -, 11.0% elo% vs. simple_bot, avg. reward: -8.117, 1.741 sec/game, 12.8 min. total, 553.2 MB
streak_dipper v9 550 games, 471240 moves, e=0.533, loss: 13.2, -, 10.8% elo% vs. simple_bot, avg. reward: -8.086, 1.750 sec/game, 12.8 min. total, 553.4 MB
streak_dipper v9 551 games, 472481 moves, e=0.532, loss: 12.3, -, 10.6% elo% vs. simple_bot, avg. reward: -8.076, 1.760 sec/game, 12.8 min. total, 552.2 MB
streak_dipper v9 552 games, 473518 moves, e=0.531, loss: 12.1, -, 10.4% elo% vs. simple_bot, avg. reward: -8.076, 1.761 sec/game, 12.8 min. total, 553.8 MB
streak_dipper v9 553 games, 474532 moves, e=0.530, loss: 12.0, -, 10.3% elo% vs. simple_bot, avg. reward: -8.081, 1.754 sec/game, 12.9 min. total, 552.7 MB
streak_dipper v9 554 games, 475651 moves, e=0.529, loss: 12.4, -, 10.1% elo% vs. simple_bot, avg. reward: -8.065, 1.755 sec/game, 12.9 min. total, 553.2 MB
streak_dipper v9 555 games, 476712 moves, e=0.528, loss: 13.0, -, 9.9% elo% vs. simple_bot, avg. reward: -8.055, 1.763 sec/game, 12.9 min. total, 554.6 MB
streak_dipper v9 556 games, 477683 moves, e=0.527, loss: 14.0, -, 9.8% elo% vs. simple_bot, avg. reward: -8.073, 1.756 sec/game, 13.0 min. total, 554.2 MB
streak_dipper v9 557 games, 478682 moves, e=0.526, loss: 13.6, -, 9.6% elo% vs. simple_bot, avg. reward: -8.069, 1.740 sec/game, 13.0 min. total, 553.2 MB
streak_dipper v9 558 games, 479698 moves, e=0.525, loss: 14.1, -, 9.5% elo% vs. simple_bot, avg. reward: -8.060, 1.732 sec/game, 13.0 min. total, 554.2 MB
streak_dipper v9 559 games, 480932 moves, e=0.524, loss: 14.0, -, 9.3% elo% vs. simple_bot, avg. reward: -8.025, 1.753 sec/game, 13.0 min. total, 552.8 MB
streak_dipper v9 560 games, 481913 moves, e=0.523, loss: 14.6, -, 9.2% elo% vs. simple_bot, avg. reward: -8.029, 1.742 sec/game, 13.1 min. total, 554.4 MB
streak_dipper v9 561 games, 483093 moves, e=0.522, loss: 13.4, -, 9.0% elo% vs. simple_bot, avg. reward: -8.006, 1.768 sec/game, 13.1 min. total, 557.6 MB
streak_dipper v9 562 games, 484179 moves, e=0.521, loss: 12.7, -, 8.9% elo% vs. simple_bot, avg. reward: -7.979, 1.751 sec/game, 13.1 min. total, 556.6 MB
streak_dipper v9 563 games, 485297 moves, e=0.520, loss: 13.0, -, 8.8% elo% vs. simple_bot, avg. reward: -7.954, 1.761 sec/game, 13.2 min. total, 556.7 MB
streak_dipper v9 564 games, 486372 moves, e=0.518, loss: 13.1, -, 8.6% elo% vs. simple_bot, avg. reward: -7.953, 1.761 sec/game, 13.2 min. total, 557.2 MB
streak_dipper v9 565 games, 487572 moves, e=0.517, loss: 13.3, -, 8.5% elo% vs. simple_bot, avg. reward: -7.916, 1.775 sec/game, 13.2 min. total, 558.0 MB
streak_dipper v9 566 games, 488642 moves, e=0.516, loss: 12.3, -, 8.4% elo% vs. simple_bot, avg. reward: -7.909, 1.771 sec/game, 13.3 min. total, 557.1 MB
streak_dipper v9 567 games, 489754 moves, e=0.515, loss: 12.2, -, 8.3% elo% vs. simple_bot, avg. reward: -7.881, 1.784 sec/game, 13.3 min. total, 557.4 MB
streak_dipper v9 568 games, 490919 moves, e=0.514, loss: 11.1, -, 8.1% elo% vs. simple_bot, avg. reward: -7.861, 1.794 sec/game, 13.3 min. total, 558.7 MB
streak_dipper v9 569 games, 491862 moves, e=0.513, loss: 12.0, -, 8.0% elo% vs. simple_bot, avg. reward: -7.859, 1.776 sec/game, 13.3 min. total, 558.2 MB
streak_dipper v9 570 games, 492907 moves, e=0.512, loss: 12.1, -, 7.9% elo% vs. simple_bot, avg. reward: -7.860, 1.767 sec/game, 13.4 min. total, 558.9 MB
streak_dipper v9 571 games, 493849 moves, e=0.511, loss: 12.8, -, 7.8% elo% vs. simple_bot, avg. reward: -7.862, 1.748 sec/game, 13.4 min. total, 558.6 MB
streak_dipper v9 572 games, 494877 moves, e=0.510, loss: 12.0, -, 7.7% elo% vs. simple_bot, avg. reward: -7.850, 1.748 sec/game, 13.4 min. total, 559.0 MB
streak_dipper v9 573 games, 496067 moves, e=0.509, loss: 12.2, -, 7.6% elo% vs. simple_bot, avg. reward: -7.825, 1.755 sec/game, 13.5 min. total, 560.1 MB
streak_dipper v9 574 games, 497249 moves, e=0.508, loss: 13.0, -, 7.5% elo% vs. simple_bot, avg. reward: -7.807, 1.756 sec/game, 13.5 min. total, 560.6 MB
streak_dipper v9 575 games, 498407 moves, e=0.507, loss: 12.7, -, 7.4% elo% vs. simple_bot, avg. reward: -7.780, 1.764 sec/game, 13.5 min. total, 559.7 MB
streak_dipper v9 576 games, 499443 moves, e=0.506, loss: 12.6, -, 7.3% elo% vs. simple_bot, avg. reward: -7.759, 1.770 sec/game, 13.5 min. total, 560.6 MB
streak_dipper v9 577 games, 500399 moves, e=0.505, loss: 12.5, -, 7.2% elo% vs. simple_bot, avg. reward: -7.769, 1.766 sec/game, 13.6 min. total, 560.1 MB
streak_dipper v9 578 games, 501501 moves, e=0.504, loss: 12.8, -, 7.2% elo% vs. simple_bot, avg. reward: -7.747, 1.764 sec/game, 13.6 min. total, 560.6 MB
streak_dipper v9 579 games, 502575 moves, e=0.502, loss: 12.1, -, 7.1% elo% vs. simple_bot, avg. reward: -7.738, 1.754 sec/game, 13.6 min. total, 560.1 MB
streak_dipper v9 580 games, 503578 moves, e=0.501, loss: 12.7, -, 7.0% elo% vs. simple_bot, avg. reward: -7.744, 1.764 sec/game, 13.7 min. total, 561.8 MB
streak_dipper v9 581 games, 504658 moves, e=0.500, loss: 12.8, -, 6.9% elo% vs. simple_bot, avg. reward: -7.728, 1.748 sec/game, 13.7 min. total, 562.2 MB
streak_dipper v9 582 games, 505747 moves, e=0.499, loss: 13.0, -, 6.8% elo% vs. simple_bot, avg. reward: -7.721, 1.758 sec/game, 13.7 min. total, 563.3 MB
streak_dipper v9 583 games, 506824 moves, e=0.498, loss: 12.3, -, 6.7% elo% vs. simple_bot, avg. reward: -7.709, 1.751 sec/game, 13.8 min. total, 563.6 MB
streak_dipper v9 584 games, 507964 moves, e=0.497, loss: 12.6, -, 6.7% elo% vs. simple_bot, avg. reward: -7.693, 1.757 sec/game, 13.8 min. total, 561.8 MB
streak_dipper v9 585 games, 509069 moves, e=0.496, loss: 13.0, -, 6.6% elo% vs. simple_bot, avg. reward: -7.675, 1.752 sec/game, 13.8 min. total, 563.3 MB
streak_dipper v9 586 games, 510186 moves, e=0.495, loss: 12.4, -, 6.5% elo% vs. simple_bot, avg. reward: -7.665, 1.754 sec/game, 13.8 min. total, 562.4 MB
streak_dipper v9 587 games, 511237 moves, e=0.494, loss: 12.1, -, 6.4% elo% vs. simple_bot, avg. reward: -7.661, 1.749 sec/game, 13.9 min. total, 562.4 MB
streak_dipper v9 588 games, 512312 moves, e=0.493, loss: 12.4, -, 6.4% elo% vs. simple_bot, avg. reward: -7.657, 1.741 sec/game, 13.9 min. total, 563.7 MB
streak_dipper v9 589 games, 513407 moves, e=0.492, loss: 13.1, -, 6.3% elo% vs. simple_bot, avg. reward: -7.628, 1.751 sec/game, 13.9 min. total, 563.2 MB
streak_dipper v9 590 games, 514566 moves, e=0.491, loss: 13.2, -, 6.2% elo% vs. simple_bot, avg. reward: -7.595, 1.766 sec/game, 14.0 min. total, 563.5 MB
streak_dipper v9 591 games, 515512 moves, e=0.490, loss: 13.2, -, 6.2% elo% vs. simple_bot, avg. reward: -7.606, 1.759 sec/game, 14.0 min. total, 564.3 MB
streak_dipper v9 592 games, 516515 moves, e=0.489, loss: 13.1, -, 6.1% elo% vs. simple_bot, avg. reward: -7.612, 1.762 sec/game, 14.0 min. total, 564.8 MB
streak_dipper v9 593 games, 517601 moves, e=0.488, loss: 12.7, -, 6.0% elo% vs. simple_bot, avg. reward: -7.599, 1.753 sec/game, 14.0 min. total, 566.7 MB
streak_dipper v9 594 games, 518620 moves, e=0.487, loss: 12.3, -, 6.0% elo% vs. simple_bot, avg. reward: -7.590, 1.743 sec/game, 14.1 min. total, 566.7 MB
streak_dipper v9 595 games, 519657 moves, e=0.486, loss: 13.6, -, 5.9% elo% vs. simple_bot, avg. reward: -7.582, 1.738 sec/game, 14.1 min. total, 567.3 MB
streak_dipper v9 596 games, 520747 moves, e=0.484, loss: 12.7, -, 5.8% elo% vs. simple_bot, avg. reward: -7.585, 1.752 sec/game, 14.1 min. total, 566.9 MB
streak_dipper v9 597 games, 521814 moves, e=0.483, loss: 12.6, -, 5.8% elo% vs. simple_bot, avg. reward: -7.575, 1.753 sec/game, 14.2 min. total, 565.2 MB
