bullfrog_excavator v2 105 games, 77125 moves, e=0.924, loss: nan, +, 52.3% elo% vs. v0, avg. reward: -9.595, 0.347 sec/game, 0.5 min. total, 593.8 MB
bullfrog_excavator v2 106 games, 77848 moves, e=0.923, loss: nan, +, 54.5% elo% vs. v0, avg. reward: -9.599, 0.349 sec/game, 0.5 min. total, 595.5 MB
bullfrog_excavator v2 107 games, 78554 moves, e=0.922, loss: nan, +, 56.6% elo% vs. v0, avg. reward: -9.605, 0.351 sec/game, 0.5 min. total, 597.4 MB
bullfrog_excavator v2 108 games, 79395 moves, e=0.921, loss: nan, -, 54.0% elo% vs. v0, avg. reward: -9.590, 0.355 sec/game, 0.5 min. total, 599.4 MB
bullfrog_excavator v2 109 games, 80220 moves, e=0.921, loss: nan, +, 56.1% elo% vs. v0, avg. reward: -9.574, 0.358 sec/game, 0.5 min. total, 602.0 MB
bullfrog_excavator v2 110 games, 81109 moves, e=0.920, loss: nan, +, 58.1% elo% vs. v0, avg. reward: -9.562, 0.363 sec/game, 0.5 min. total, 604.1 MB
bullfrog_excavator v2 111 games, 81848 moves, e=0.919, loss: nan, +, 59.9% elo% vs. v0, avg. reward: -9.568, 0.363 sec/game, 0.5 min. total, 606.3 MB
bullfrog_excavator v2 112 games, 82647 moves, e=0.918, loss: nan, +, 61.7% elo% vs. v0, avg. reward: -9.536, 0.367 sec/game, 0.5 min. total, 609.2 MB
bullfrog_excavator v2 113 games, 83335 moves, e=0.917, loss: nan, +, 63.3% elo% vs. v0, avg. reward: -9.543, 0.370 sec/game, 0.6 min. total, 611.7 MB
bullfrog_excavator v2 114 games, 84102 moves, e=0.917, loss: nan, -, 60.6% elo% vs. v0, avg. reward: -9.527, 0.370 sec/game, 0.6 min. total, 615.3 MB
bullfrog_excavator v2 115 games, 84825 moves, e=0.916, loss: nan, -, 57.9% elo% vs. v0, avg. reward: -9.521, 0.369 sec/game, 0.6 min. total, 619.3 MB
bullfrog_excavator v2 116 games, 85526 moves, e=0.915, loss: nan, -, 55.3% elo% vs. v0, avg. reward: -9.525, 0.370 sec/game, 0.6 min. total, 624.3 MB
bullfrog_excavator v2 117 games, 86302 moves, e=0.915, loss: nan, -, 52.8% elo% vs. v0, avg. reward: -9.522, 0.380 sec/game, 0.6 min. total, 626.0 MB
bullfrog_excavator v2 118 games, 87090 moves, e=0.914, loss: nan, +, 54.9% elo% vs. v0, avg. reward: -9.515, 0.381 sec/game, 0.6 min. total, 627.5 MB
bullfrog_excavator v2 119 games, 87852 moves, e=0.913, loss: nan, -, 52.4% elo% vs. v0, avg. reward: -9.512, 0.382 sec/game, 0.6 min. total, 629.4 MB
bullfrog_excavator v2 120 games, 88693 moves, e=0.912, loss: nan, -, 50.0% elo% vs. v0, avg. reward: -9.495, 0.391 sec/game, 0.6 min. total, 631.3 MB
bullfrog_excavator v2 121 games, 89494 moves, e=0.911, loss: nan, +, 52.3% elo% vs. v0, avg. reward: -9.486, 0.389 sec/game, 0.6 min. total, 633.6 MB
bullfrog_excavator v2 122 games, 90311 moves, e=0.911, loss: nan, -, 49.9% elo% vs. v0, avg. reward: -9.456, 0.392 sec/game, 0.6 min. total, 635.8 MB
bullfrog_excavator v2 123 games, 91070 moves, e=0.910, loss: nan, -, 47.6% elo% vs. v0, avg. reward: -9.449, 0.393 sec/game, 0.6 min. total, 638.1 MB
bullfrog_excavator v2 124 games, 91875 moves, e=0.909, loss: nan, ., 47.7% elo% vs. v0, avg. reward: -9.446, 0.391 sec/game, 0.6 min. total, 640.2 MB
bullfrog_excavator v2 125 games, 92608 moves, e=0.908, loss: nan, -, 45.5% elo% vs. v0, avg. reward: -9.450, 0.392 sec/game, 0.6 min. total, 641.9 MB
bullfrog_excavator v2 126 games, 93321 moves, e=0.908, loss: nan, +, 48.0% elo% vs. v0, avg. reward: -9.451, 0.393 sec/game, 0.6 min. total, 643.8 MB
bullfrog_excavator v2 127 games, 94094 moves, e=0.907, loss: nan, -, 45.8% elo% vs. v0, avg. reward: -9.432, 0.397 sec/game, 0.6 min. total, 647.6 MB
bullfrog_excavator v2 128 games, 94982 moves, e=0.906, loss: nan, +, 48.3% elo% vs. v0, avg. reward: -9.406, 0.398 sec/game, 0.7 min. total, 652.0 MB
