demeaning_prong v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 303.9 MB
demeaning_prong v4 130 games, 92438 moves, e=0.908, loss: 2.1, -, 19.0% elo% vs. random_no_suicide, avg. reward: -8.680, 1.416 sec/game, 2.7 min. total, 483.3 MB
demeaning_prong v4 131 games, 93221 moves, e=0.908, loss: 2.3, ., 19.9% elo% vs. random_no_suicide, avg. reward: -8.665, 1.417 sec/game, 2.7 min. total, 484.7 MB
demeaning_prong v4 132 games, 93938 moves, e=0.907, loss: 2.3, -, 19.4% elo% vs. random_no_suicide, avg. reward: -8.658, 1.418 sec/game, 2.7 min. total, 483.7 MB
demeaning_prong v4 133 games, 94690 moves, e=0.906, loss: 2.0, -, 18.8% elo% vs. random_no_suicide, avg. reward: -8.642, 1.406 sec/game, 2.8 min. total, 483.6 MB
demeaning_prong v4 134 games, 95532 moves, e=0.905, loss: 1.9, -, 18.3% elo% vs. random_no_suicide, avg. reward: -8.614, 1.418 sec/game, 2.8 min. total, 483.6 MB
demeaning_prong v4 135 games, 96313 moves, e=0.905, loss: 1.8, -, 17.8% elo% vs. random_no_suicide, avg. reward: -8.602, 1.417 sec/game, 2.8 min. total, 483.8 MB
demeaning_prong v4 136 games, 97139 moves, e=0.904, loss: 1.9, -, 17.3% elo% vs. random_no_suicide, avg. reward: -8.596, 1.422 sec/game, 2.8 min. total, 483.8 MB
demeaning_prong v4 137 games, 97823 moves, e=0.903, loss: 1.9, -, 16.9% elo% vs. random_no_suicide, avg. reward: -8.607, 1.420 sec/game, 2.9 min. total, 483.8 MB
demeaning_prong v4 138 games, 98515 moves, e=0.902, loss: 2.2, -, 16.4% elo% vs. random_no_suicide, avg. reward: -8.610, 1.411 sec/game, 2.9 min. total, 484.1 MB
demeaning_prong v4 139 games, 99296 moves, e=0.902, loss: 2.3, -, 16.0% elo% vs. random_no_suicide, avg. reward: -8.590, 1.410 sec/game, 2.9 min. total, 485.7 MB
demeaning_prong v4 140 games, 99982 moves, e=0.901, loss: 2.7, -, 15.6% elo% vs. random_no_suicide, avg. reward: -8.577, 1.412 sec/game, 2.9 min. total, 485.6 MB
demeaning_prong v4 141 games, 100806 moves, e=0.900, loss: 2.6, -, 15.3% elo% vs. random_no_suicide, avg. reward: -8.567, 1.436 sec/game, 3.0 min. total, 490.3 MB
demeaning_prong v4 142 games, 101498 moves, e=0.900, loss: 2.4, -, 14.9% elo% vs. random_no_suicide, avg. reward: -8.591, 1.415 sec/game, 3.0 min. total, 490.4 MB
demeaning_prong v4 143 games, 102353 moves, e=0.899, loss: 2.5, -, 14.5% elo% vs. random_no_suicide, avg. reward: -8.574, 1.440 sec/game, 3.0 min. total, 486.0 MB
demeaning_prong v4 144 games, 103088 moves, e=0.898, loss: 2.5, -, 14.2% elo% vs. random_no_suicide, avg. reward: -8.563, 1.431 sec/game, 3.0 min. total, 486.0 MB
demeaning_prong v4 145 games, 103820 moves, e=0.897, loss: 2.4, -, 13.9% elo% vs. random_no_suicide, avg. reward: -8.550, 1.440 sec/game, 3.1 min. total, 486.2 MB
