nutcase_devalue v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.5 MB
nutcase_devalue v4 114 games, 79470 moves, e=0.992, loss: 2.6, -, 27.3% elo% vs. random_no_suicide, avg. reward: -8.877, 1.244 sec/game, 2.1 min. total, 483.1 MB
nutcase_devalue v4 115 games, 80239 moves, e=0.992, loss: 2.5, -, 26.4% elo% vs. random_no_suicide, avg. reward: -8.865, 1.243 sec/game, 2.1 min. total, 483.1 MB
nutcase_devalue v4 116 games, 80876 moves, e=0.992, loss: 2.4, +, 29.1% elo% vs. random_no_suicide, avg. reward: -8.880, 1.233 sec/game, 2.1 min. total, 484.4 MB
nutcase_devalue v4 117 games, 81464 moves, e=0.992, loss: 2.3, -, 28.0% elo% vs. random_no_suicide, avg. reward: -8.897, 1.232 sec/game, 2.2 min. total, 483.3 MB
nutcase_devalue v4 118 games, 82194 moves, e=0.992, loss: 2.0, ., 28.8% elo% vs. random_no_suicide, avg. reward: -8.892, 1.233 sec/game, 2.2 min. total, 484.7 MB
nutcase_devalue v4 119 games, 82936 moves, e=0.992, loss: 2.1, -, 27.7% elo% vs. random_no_suicide, avg. reward: -8.888, 1.224 sec/game, 2.2 min. total, 486.3 MB
nutcase_devalue v4 120 games, 83558 moves, e=0.992, loss: 2.3, -, 26.7% elo% vs. random_no_suicide, avg. reward: -8.900, 1.226 sec/game, 2.2 min. total, 484.9 MB
nutcase_devalue v4 121 games, 84195 moves, e=0.992, loss: 2.5, ., 27.6% elo% vs. random_no_suicide, avg. reward: -8.908, 1.228 sec/game, 2.2 min. total, 486.3 MB
nutcase_devalue v4 122 games, 84871 moves, e=0.992, loss: 2.3, +, 30.3% elo% vs. random_no_suicide, avg. reward: -8.916, 1.227 sec/game, 2.3 min. total, 486.6 MB
nutcase_devalue v4 123 games, 85584 moves, e=0.992, loss: 2.7, -, 29.1% elo% vs. random_no_suicide, avg. reward: -8.908, 1.230 sec/game, 2.3 min. total, 485.2 MB
nutcase_devalue v4 124 games, 86350 moves, e=0.991, loss: 2.7, -, 28.0% elo% vs. random_no_suicide, avg. reward: -8.907, 1.251 sec/game, 2.3 min. total, 487.4 MB
nutcase_devalue v4 125 games, 87055 moves, e=0.991, loss: 2.3, -, 27.0% elo% vs. random_no_suicide, avg. reward: -8.898, 1.252 sec/game, 2.3 min. total, 485.5 MB
nutcase_devalue v4 126 games, 87750 moves, e=0.991, loss: 2.3, -, 26.0% elo% vs. random_no_suicide, avg. reward: -8.890, 1.252 sec/game, 2.4 min. total, 490.5 MB
nutcase_devalue v4 127 games, 88381 moves, e=0.991, loss: 2.4, -, 25.1% elo% vs. random_no_suicide, avg. reward: -8.899, 1.259 sec/game, 2.4 min. total, 486.8 MB
nutcase_devalue v4 128 games, 89196 moves, e=0.991, loss: 2.5, -, 24.3% elo% vs. random_no_suicide, avg. reward: -8.872, 1.261 sec/game, 2.4 min. total, 491.1 MB
nutcase_devalue v4 129 games, 90008 moves, e=0.991, loss: 2.4, -, 23.5% elo% vs. random_no_suicide, avg. reward: -8.865, 1.268 sec/game, 2.4 min. total, 490.6 MB
nutcase_devalue v4 130 games, 90672 moves, e=0.991, loss: 2.5, -, 22.7% elo% vs. random_no_suicide, avg. reward: -8.870, 1.267 sec/game, 2.4 min. total, 486.5 MB
nutcase_devalue v4 131 games, 91438 moves, e=0.991, loss: 2.6, -, 22.0% elo% vs. random_no_suicide, avg. reward: -8.856, 1.268 sec/game, 2.5 min. total, 486.4 MB
nutcase_devalue v4 132 games, 92114 moves, e=0.991, loss: 2.4, -, 21.3% elo% vs. random_no_suicide, avg. reward: -8.863, 1.273 sec/game, 2.5 min. total, 486.4 MB
nutcase_devalue v4 133 games, 92885 moves, e=0.991, loss: 2.5, -, 20.6% elo% vs. random_no_suicide, avg. reward: -8.860, 1.272 sec/game, 2.5 min. total, 486.5 MB
nutcase_devalue v4 134 games, 93460 moves, e=0.991, loss: 2.3, -, 20.0% elo% vs. random_no_suicide, avg. reward: -8.882, 1.261 sec/game, 2.5 min. total, 488.7 MB
nutcase_devalue v4 135 games, 94182 moves, e=0.991, loss: 2.5, -, 19.4% elo% vs. random_no_suicide, avg. reward: -8.870, 1.251 sec/game, 2.5 min. total, 487.5 MB
nutcase_devalue v4 136 games, 94892 moves, e=0.991, loss: 2.4, -, 18.9% elo% vs. random_no_suicide, avg. reward: -8.887, 1.262 sec/game, 2.6 min. total, 489.6 MB
nutcase_devalue v4 137 games, 95636 moves, e=0.991, loss: 2.5, -, 18.3% elo% vs. random_no_suicide, avg. reward: -8.885, 1.273 sec/game, 2.6 min. total, 487.5 MB
nutcase_devalue v4 138 games, 96353 moves, e=0.990, loss: 2.4, -, 17.8% elo% vs. random_no_suicide, avg. reward: -8.881, 1.264 sec/game, 2.6 min. total, 487.7 MB
nutcase_devalue v4 139 games, 97020 moves, e=0.990, loss: 2.2, -, 17.4% elo% vs. random_no_suicide, avg. reward: -8.888, 1.263 sec/game, 2.6 min. total, 489.8 MB
nutcase_devalue v4 140 games, 97615 moves, e=0.990, loss: 2.4, -, 16.9% elo% vs. random_no_suicide, avg. reward: -8.894, 1.260 sec/game, 2.6 min. total, 491.7 MB
nutcase_devalue v4 141 games, 98387 moves, e=0.990, loss: 2.0, -, 16.5% elo% vs. random_no_suicide, avg. reward: -8.886, 1.274 sec/game, 2.7 min. total, 489.0 MB
nutcase_devalue v4 142 games, 99099 moves, e=0.990, loss: 1.8, -, 16.1% elo% vs. random_no_suicide, avg. reward: -8.886, 1.275 sec/game, 2.7 min. total, 487.4 MB
nutcase_devalue v4 143 games, 99731 moves, e=0.990, loss: 1.9, -, 15.7% elo% vs. random_no_suicide, avg. reward: -8.883, 1.272 sec/game, 2.7 min. total, 493.3 MB
