preseason_shawl v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.3 MB
preseason_shawl v4 105 games, 75852 moves, e=0.925, loss: 5.9, -, 39.6% elo% vs. random_no_suicide, avg. reward: -9.723, 1.333 sec/game, 2.1 min. total, 454.7 MB
preseason_shawl v4 106 games, 76552 moves, e=0.924, loss: 5.8, -, 37.9% elo% vs. random_no_suicide, avg. reward: -9.738, 1.335 sec/game, 2.1 min. total, 455.3 MB
preseason_shawl v4 107 games, 77244 moves, e=0.924, loss: 6.0, -, 36.3% elo% vs. random_no_suicide, avg. reward: -9.740, 1.334 sec/game, 2.1 min. total, 454.9 MB
preseason_shawl v4 108 games, 77998 moves, e=0.923, loss: 5.7, -, 34.8% elo% vs. random_no_suicide, avg. reward: -9.719, 1.347 sec/game, 2.1 min. total, 455.6 MB
preseason_shawl v4 109 games, 78668 moves, e=0.922, loss: 5.5, -, 33.3% elo% vs. random_no_suicide, avg. reward: -9.714, 1.348 sec/game, 2.2 min. total, 455.6 MB
preseason_shawl v4 110 games, 79446 moves, e=0.921, loss: 5.9, -, 32.0% elo% vs. random_no_suicide, avg. reward: -9.709, 1.362 sec/game, 2.2 min. total, 455.8 MB
preseason_shawl v4 111 games, 80152 moves, e=0.921, loss: 6.0, -, 30.7% elo% vs. random_no_suicide, avg. reward: -9.724, 1.353 sec/game, 2.2 min. total, 455.2 MB
preseason_shawl v4 112 games, 80857 moves, e=0.920, loss: 6.1, -, 29.5% elo% vs. random_no_suicide, avg. reward: -9.720, 1.346 sec/game, 2.2 min. total, 456.0 MB
preseason_shawl v4 113 games, 81616 moves, e=0.919, loss: 6.7, -, 28.4% elo% vs. random_no_suicide, avg. reward: -9.720, 1.359 sec/game, 2.3 min. total, 456.0 MB
preseason_shawl v4 114 games, 82398 moves, e=0.918, loss: 7.1, -, 27.3% elo% vs. random_no_suicide, avg. reward: -9.729, 1.372 sec/game, 2.3 min. total, 456.0 MB
preseason_shawl v4 115 games, 83175 moves, e=0.918, loss: 7.0, -, 26.4% elo% vs. random_no_suicide, avg. reward: -9.733, 1.394 sec/game, 2.3 min. total, 456.1 MB
preseason_shawl v4 116 games, 84034 moves, e=0.917, loss: 6.9, -, 25.4% elo% vs. random_no_suicide, avg. reward: -9.721, 1.420 sec/game, 2.3 min. total, 455.7 MB
preseason_shawl v4 117 games, 84757 moves, e=0.916, loss: 7.0, -, 24.5% elo% vs. random_no_suicide, avg. reward: -9.714, 1.403 sec/game, 2.4 min. total, 457.5 MB
preseason_shawl v4 118 games, 85383 moves, e=0.915, loss: 7.1, -, 23.7% elo% vs. random_no_suicide, avg. reward: -9.722, 1.411 sec/game, 2.4 min. total, 457.4 MB
