primal_author v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.1 MB
primal_author v4 139 games, 101687 moves, e=0.899, loss: 3.1, -, 17.5% elo% vs. random_no_suicide, avg. reward: -9.705, 1.422 sec/game, 2.9 min. total, 492.6 MB
primal_author v4 140 games, 102534 moves, e=0.898, loss: 3.6, -, 17.0% elo% vs. random_no_suicide, avg. reward: -9.693, 1.432 sec/game, 2.9 min. total, 493.9 MB
primal_author v4 141 games, 103308 moves, e=0.898, loss: 3.9, -, 16.6% elo% vs. random_no_suicide, avg. reward: -9.684, 1.444 sec/game, 2.9 min. total, 492.6 MB
primal_author v4 142 games, 104033 moves, e=0.897, loss: 4.0, -, 16.2% elo% vs. random_no_suicide, avg. reward: -9.702, 1.438 sec/game, 3.0 min. total, 497.2 MB
primal_author v4 143 games, 104834 moves, e=0.896, loss: 3.9, -, 15.8% elo% vs. random_no_suicide, avg. reward: -9.688, 1.459 sec/game, 3.0 min. total, 497.4 MB
primal_author v4 144 games, 105462 moves, e=0.896, loss: 3.8, -, 15.4% elo% vs. random_no_suicide, avg. reward: -9.724, 1.439 sec/game, 3.0 min. total, 492.9 MB
primal_author v4 145 games, 106186 moves, e=0.895, loss: 3.8, -, 15.0% elo% vs. random_no_suicide, avg. reward: -9.734, 1.440 sec/game, 3.0 min. total, 495.0 MB
primal_author v4 146 games, 107016 moves, e=0.894, loss: 3.4, -, 14.7% elo% vs. random_no_suicide, avg. reward: -9.712, 1.467 sec/game, 3.1 min. total, 494.9 MB
primal_author v4 147 games, 107815 moves, e=0.893, loss: 3.5, -, 14.3% elo% vs. random_no_suicide, avg. reward: -9.693, 1.471 sec/game, 3.1 min. total, 494.7 MB
primal_author v4 148 games, 108599 moves, e=0.892, loss: 3.3, -, 14.0% elo% vs. random_no_suicide, avg. reward: -9.685, 1.482 sec/game, 3.1 min. total, 494.6 MB
primal_author v4 149 games, 109396 moves, e=0.892, loss: 3.4, -, 13.7% elo% vs. random_no_suicide, avg. reward: -9.667, 1.472 sec/game, 3.1 min. total, 495.0 MB
