bullfight_antiviral v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.1 MB
bullfight_antiviral v4 119 games, 86071 moves, e=0.915, loss: 3.2, +, 59.7% elo% vs. random_no_suicide, avg. reward: -6.318, 1.531 sec/game, 2.6 min. total, 452.6 MB
bullfight_antiviral v4 120 games, 86701 moves, e=0.914, loss: 3.1, -, 57.0% elo% vs. random_no_suicide, avg. reward: -6.325, 1.530 sec/game, 2.6 min. total, 453.2 MB
bullfight_antiviral v4 121 games, 87494 moves, e=0.913, loss: 3.0, -, 54.4% elo% vs. random_no_suicide, avg. reward: -6.309, 1.528 sec/game, 2.6 min. total, 452.8 MB
bullfight_antiviral v4 122 games, 88298 moves, e=0.913, loss: 3.0, +, 56.5% elo% vs. random_no_suicide, avg. reward: -6.287, 1.528 sec/game, 2.7 min. total, 453.4 MB
bullfight_antiviral v4 123 games, 89028 moves, e=0.912, loss: 2.8, +, 58.5% elo% vs. random_no_suicide, avg. reward: -6.289, 1.525 sec/game, 2.7 min. total, 452.9 MB
bullfight_antiviral v4 124 games, 89680 moves, e=0.911, loss: 2.7, -, 55.8% elo% vs. random_no_suicide, avg. reward: -6.300, 1.528 sec/game, 2.7 min. total, 453.1 MB
bullfight_antiviral v4 125 games, 90277 moves, e=0.911, loss: 2.6, +, 57.8% elo% vs. random_no_suicide, avg. reward: -6.300, 1.508 sec/game, 2.7 min. total, 453.1 MB
bullfight_antiviral v4 126 games, 91050 moves, e=0.910, loss: 2.7, +, 59.7% elo% vs. random_no_suicide, avg. reward: -6.288, 1.501 sec/game, 2.7 min. total, 453.4 MB
bullfight_antiviral v4 127 games, 91740 moves, e=0.909, loss: 2.8, +, 61.5% elo% vs. random_no_suicide, avg. reward: -6.296, 1.493 sec/game, 2.8 min. total, 454.2 MB
bullfight_antiviral v4 128 games, 92521 moves, e=0.908, loss: 2.7, ., 61.0% elo% vs. random_no_suicide, avg. reward: -6.282, 1.501 sec/game, 2.8 min. total, 454.6 MB
bullfight_antiviral v4 129 games, 93127 moves, e=0.908, loss: 2.5, -, 58.3% elo% vs. random_no_suicide, avg. reward: -6.301, 1.494 sec/game, 2.8 min. total, 455.1 MB
bullfight_antiviral v4 130 games, 93889 moves, e=0.907, loss: 3.0, +, 60.1% elo% vs. random_no_suicide, avg. reward: -6.288, 1.508 sec/game, 2.8 min. total, 455.3 MB
bullfight_antiviral v4 131 games, 94588 moves, e=0.906, loss: 2.8, +, 61.9% elo% vs. random_no_suicide, avg. reward: -6.293, 1.489 sec/game, 2.9 min. total, 455.5 MB
bullfight_antiviral v4 132 games, 95399 moves, e=0.906, loss: 2.8, -, 59.2% elo% vs. random_no_suicide, avg. reward: -6.281, 1.504 sec/game, 2.9 min. total, 455.6 MB
bullfight_antiviral v4 133 games, 96083 moves, e=0.905, loss: 2.8, +, 61.0% elo% vs. random_no_suicide, avg. reward: -6.280, 1.506 sec/game, 2.9 min. total, 455.1 MB
bullfight_antiviral v4 134 games, 96751 moves, e=0.904, loss: 2.7, -, 58.3% elo% vs. random_no_suicide, avg. reward: -6.282, 1.495 sec/game, 2.9 min. total, 455.8 MB
