frenzy_eggnog v3 206 games, 83128 moves, e=0.918, loss: nan, -, 45.6% elo% vs. random_bot, avg. reward: -14.378, 0.256 sec/game, 0.9 min. total, 592.1 MB
frenzy_eggnog v3 208 games, 83711 moves, e=0.917, loss: nan, -, 43.5% elo% vs. random_bot, avg. reward: -14.456, 0.253 sec/game, 0.9 min. total, 593.4 MB
frenzy_eggnog v3 210 games, 84377 moves, e=0.916, loss: nan, ., 43.8% elo% vs. random_bot, avg. reward: -14.504, 0.253 sec/game, 0.9 min. total, 595.0 MB
frenzy_eggnog v3 212 games, 85009 moves, e=0.916, loss: nan, ., 44.1% elo% vs. random_bot, avg. reward: -14.575, 0.253 sec/game, 0.9 min. total, 597.0 MB
frenzy_eggnog v3 214 games, 85649 moves, e=0.915, loss: nan, -, 42.1% elo% vs. random_bot, avg. reward: -14.638, 0.255 sec/game, 0.9 min. total, 599.5 MB
frenzy_eggnog v3 216 games, 86354 moves, e=0.915, loss: nan, -, 40.2% elo% vs. random_bot, avg. reward: -14.691, 0.254 sec/game, 0.9 min. total, 602.0 MB
frenzy_eggnog v3 218 games, 86996 moves, e=0.914, loss: nan, -, 38.5% elo% vs. random_bot, avg. reward: -14.750, 0.255 sec/game, 0.9 min. total, 604.5 MB
frenzy_eggnog v3 220 games, 87709 moves, e=0.913, loss: nan, -, 36.8% elo% vs. random_bot, avg. reward: -14.766, 0.255 sec/game, 0.9 min. total, 607.3 MB
frenzy_eggnog v3 222 games, 88270 moves, e=0.913, loss: nan, ., 37.4% elo% vs. random_bot, avg. reward: -14.855, 0.246 sec/game, 0.9 min. total, 610.9 MB
frenzy_eggnog v3 224 games, 88919 moves, e=0.912, loss: nan, -, 35.8% elo% vs. random_bot, avg. reward: -14.875, 0.245 sec/game, 0.9 min. total, 611.3 MB
frenzy_eggnog v3 226 games, 89633 moves, e=0.911, loss: nan, -, 34.3% elo% vs. random_bot, avg. reward: -14.875, 0.247 sec/game, 0.9 min. total, 612.5 MB
frenzy_eggnog v3 228 games, 90271 moves, e=0.911, loss: nan, -, 32.9% elo% vs. random_bot, avg. reward: -14.957, 0.250 sec/game, 0.9 min. total, 614.1 MB
frenzy_eggnog v3 230 games, 90960 moves, e=0.910, loss: nan, -, 31.5% elo% vs. random_bot, avg. reward: -14.983, 0.249 sec/game, 1.0 min. total, 615.7 MB
frenzy_eggnog v3 232 games, 91643 moves, e=0.909, loss: nan, -, 30.3% elo% vs. random_bot, avg. reward: -15.003, 0.251 sec/game, 1.0 min. total, 617.4 MB
frenzy_eggnog v3 234 games, 92317 moves, e=0.909, loss: nan, -, 29.1% elo% vs. random_bot, avg. reward: -15.025, 0.249 sec/game, 1.0 min. total, 619.2 MB
frenzy_eggnog v3 236 games, 92961 moves, e=0.908, loss: nan, -, 28.0% elo% vs. random_bot, avg. reward: -15.094, 0.249 sec/game, 1.0 min. total, 621.3 MB
frenzy_eggnog v3 238 games, 93680 moves, e=0.907, loss: nan, -, 27.0% elo% vs. random_bot, avg. reward: -15.104, 0.249 sec/game, 1.0 min. total, 624.1 MB
frenzy_eggnog v3 240 games, 94295 moves, e=0.907, loss: nan, -, 26.0% elo% vs. random_bot, avg. reward: -15.148, 0.247 sec/game, 1.0 min. total, 626.4 MB
frenzy_eggnog v3 242 games, 94893 moves, e=0.906, loss: nan, -, 25.1% elo% vs. random_bot, avg. reward: -15.232, 0.247 sec/game, 1.0 min. total, 629.7 MB
frenzy_eggnog v3 244 games, 95644 moves, e=0.905, loss: nan, -, 24.3% elo% vs. random_bot, avg. reward: -15.192, 0.254 sec/game, 1.0 min. total, 632.7 MB
frenzy_eggnog v3 246 games, 96280 moves, e=0.905, loss: nan, -, 23.5% elo% vs. random_bot, avg. reward: -15.228, 0.253 sec/game, 1.0 min. total, 632.9 MB
frenzy_eggnog v3 248 games, 96886 moves, e=0.904, loss: nan, -, 22.7% elo% vs. random_bot, avg. reward: -15.249, 0.253 sec/game, 1.0 min. total, 634.2 MB
frenzy_eggnog v3 250 games, 97496 moves, e=0.903, loss: nan, -, 22.0% elo% vs. random_bot, avg. reward: -15.285, 0.253 sec/game, 1.0 min. total, 635.3 MB
frenzy_eggnog v3 252 games, 98076 moves, e=0.903, loss: nan, -, 21.3% elo% vs. random_bot, avg. reward: -15.354, 0.252 sec/game, 1.0 min. total, 636.8 MB
frenzy_eggnog v3 254 games, 98716 moves, e=0.902, loss: nan, -, 20.6% elo% vs. random_bot, avg. reward: -15.392, 0.252 sec/game, 1.1 min. total, 638.5 MB
frenzy_eggnog v3 256 games, 99350 moves, e=0.902, loss: nan, -, 20.0% elo% vs. random_bot, avg. reward: -15.445, 0.254 sec/game, 1.1 min. total, 640.8 MB
frenzy_eggnog v3 258 games, 100049 moves, e=0.901, loss: nan, ., 20.9% elo% vs. random_bot, avg. reward: -15.463, 0.253 sec/game, 1.1 min. total, 643.2 MB
frenzy_eggnog v3 260 games, 101136 moves, e=0.900, loss: 55.7, +, 23.4% elo% vs. random_bot, avg. reward: -15.355, 0.552 sec/game, 1.2 min. total, 686.5 MB
frenzy_eggnog v3 262 games, 102130 moves, e=0.899, loss: 32.5, +, 26.1% elo% vs. random_bot, avg. reward: -15.252, 0.770 sec/game, 1.3 min. total, 687.2 MB
frenzy_eggnog v3 264 games, 103207 moves, e=0.898, loss: 18.1, +, 28.8% elo% vs. random_bot, avg. reward: -15.131, 1.048 sec/game, 1.4 min. total, 688.4 MB
frenzy_eggnog v3 266 games, 104269 moves, e=0.897, loss: 12.8, +, 31.5% elo% vs. random_bot, avg. reward: -15.026, 1.298 sec/game, 1.5 min. total, 688.8 MB
frenzy_eggnog v3 268 games, 105232 moves, e=0.896, loss: 10.1, +, 34.3% elo% vs. random_bot, avg. reward: -14.951, 1.546 sec/game, 1.5 min. total, 689.1 MB
frenzy_eggnog v3 270 games, 106166 moves, e=0.895, loss: 9.0, -, 32.9% elo% vs. random_bot, avg. reward: -14.869, 1.761 sec/game, 1.6 min. total, 689.6 MB
frenzy_eggnog v3 272 games, 107292 moves, e=0.894, loss: 8.1, +, 35.7% elo% vs. random_bot, avg. reward: -14.745, 2.040 sec/game, 1.7 min. total, 689.9 MB
frenzy_eggnog v3 274 games, 108287 moves, e=0.893, loss: 7.6, +, 38.4% elo% vs. random_bot, avg. reward: -14.639, 2.258 sec/game, 1.8 min. total, 691.3 MB
frenzy_eggnog v3 276 games, 109455 moves, e=0.892, loss: 7.3, +, 41.2% elo% vs. random_bot, avg. reward: -14.524, 2.573 sec/game, 1.9 min. total, 691.2 MB
frenzy_eggnog v3 278 games, 110553 moves, e=0.891, loss: 6.8, +, 43.8% elo% vs. random_bot, avg. reward: -14.392, 2.821 sec/game, 2.0 min. total, 691.8 MB
frenzy_eggnog v3 280 games, 111567 moves, e=0.890, loss: 6.6, +, 46.4% elo% vs. random_bot, avg. reward: -14.343, 2.769 sec/game, 2.1 min. total, 692.3 MB
frenzy_eggnog v3 282 games, 112573 moves, e=0.889, loss: 6.1, +, 48.8% elo% vs. random_bot, avg. reward: -14.223, 2.808 sec/game, 2.2 min. total, 691.6 MB
frenzy_eggnog v3 284 games, 113488 moves, e=0.888, loss: 5.9, +, 51.2% elo% vs. random_bot, avg. reward: -14.126, 2.749 sec/game, 2.3 min. total, 691.4 MB
frenzy_eggnog v3 286 games, 114628 moves, e=0.887, loss: 5.8, +, 53.4% elo% vs. random_bot, avg. reward: -14.026, 2.783 sec/game, 2.4 min. total, 692.1 MB
frenzy_eggnog v3 288 games, 115677 moves, e=0.885, loss: 5.5, +, 55.6% elo% vs. random_bot, avg. reward: -13.908, 2.816 sec/game, 2.5 min. total, 693.9 MB
frenzy_eggnog v3 290 games, 116759 moves, e=0.884, loss: 5.4, +, 57.6% elo% vs. random_bot, avg. reward: -13.836, 2.911 sec/game, 2.6 min. total, 695.6 MB
frenzy_eggnog v3 292 games, 117743 moves, e=0.883, loss: 5.3, +, 59.5% elo% vs. random_bot, avg. reward: -13.748, 2.861 sec/game, 2.7 min. total, 695.5 MB
frenzy_eggnog v3 294 games, 118779 moves, e=0.882, loss: 5.4, +, 61.3% elo% vs. random_bot, avg. reward: -13.654, 2.904 sec/game, 2.8 min. total, 695.7 MB
frenzy_eggnog v3 296 games, 119832 moves, e=0.881, loss: 5.3, +, 62.9% elo% vs. random_bot, avg. reward: -13.575, 2.884 sec/game, 2.9 min. total, 696.4 MB
frenzy_eggnog v3 298 games, 120790 moves, e=0.880, loss: 5.0, +, 64.5% elo% vs. random_bot, avg. reward: -13.479, 2.870 sec/game, 3.0 min. total, 698.3 MB
frenzy_eggnog v3 300 games, 121791 moves, e=0.879, loss: 5.0, +, 66.0% elo% vs. random_bot, avg. reward: -13.377, 2.888 sec/game, 3.1 min. total, 698.5 MB
frenzy_eggnog v4 302 games, 122705 moves, e=0.879, loss: 4.9, +, 52.3% elo% vs. random_bot, avg. reward: -13.297, 2.862 sec/game, 3.1 min. total, 699.4 MB
frenzy_eggnog v4 304 games, 123753 moves, e=0.877, loss: 4.9, +, 54.5% elo% vs. random_bot, avg. reward: -13.191, 2.898 sec/game, 3.2 min. total, 699.8 MB
