pulsate_salute v2 134 games, 96563 moves, e=0.904, loss: nan, -, 57.5% elo% vs. v0, avg. reward: -9.895, 0.357 sec/game, 0.6 min. total, 657.5 MB
pulsate_salute v2 135 games, 97348 moves, e=0.904, loss: nan, +, 59.4% elo% vs. v0, avg. reward: -9.867, 0.355 sec/game, 0.7 min. total, 662.3 MB
pulsate_salute v2 136 games, 98163 moves, e=0.903, loss: nan, ., 59.0% elo% vs. v0, avg. reward: -9.865, 0.359 sec/game, 0.7 min. total, 666.2 MB
pulsate_salute v2 137 games, 98945 moves, e=0.902, loss: nan, +, 60.8% elo% vs. v0, avg. reward: -9.856, 0.360 sec/game, 0.7 min. total, 667.3 MB
pulsate_salute v2 138 games, 99709 moves, e=0.901, loss: nan, -, 58.1% elo% vs. v0, avg. reward: -9.844, 0.372 sec/game, 0.7 min. total, 669.2 MB
pulsate_salute v2 139 games, 100456 moves, e=0.901, loss: 64.2, -, 55.5% elo% vs. v0, avg. reward: -9.833, 0.545 sec/game, 0.7 min. total, 709.0 MB
pulsate_salute v2 140 games, 101212 moves, e=0.900, loss: 43.8, -, 52.9% elo% vs. v0, avg. reward: -9.809, 0.811 sec/game, 0.8 min. total, 702.5 MB
pulsate_salute v2 141 games, 102039 moves, e=0.899, loss: 24.1, -, 50.5% elo% vs. v0, avg. reward: -9.779, 1.102 sec/game, 0.9 min. total, 702.9 MB
pulsate_salute v2 142 games, 102665 moves, e=0.898, loss: 15.5, -, 48.2% elo% vs. v0, avg. reward: -9.794, 1.303 sec/game, 1.0 min. total, 703.1 MB
pulsate_salute v2 143 games, 103468 moves, e=0.898, loss: 9.6, -, 45.9% elo% vs. v0, avg. reward: -9.773, 1.552 sec/game, 1.1 min. total, 703.6 MB
pulsate_salute v2 144 games, 104092 moves, e=0.897, loss: 6.9, -, 43.9% elo% vs. v0, avg. reward: -9.766, 1.769 sec/game, 1.2 min. total, 703.9 MB
pulsate_salute v2 145 games, 104903 moves, e=0.896, loss: 5.1, +, 46.4% elo% vs. v0, avg. reward: -9.748, 2.022 sec/game, 1.3 min. total, 704.7 MB
pulsate_salute v2 146 games, 105757 moves, e=0.895, loss: 3.9, +, 48.9% elo% vs. v0, avg. reward: -9.729, 2.311 sec/game, 1.4 min. total, 706.1 MB
pulsate_salute v2 147 games, 106465 moves, e=0.895, loss: 3.4, -, 46.6% elo% vs. v0, avg. reward: -9.727, 2.516 sec/game, 1.4 min. total, 706.6 MB
pulsate_salute v2 148 games, 107261 moves, e=0.894, loss: 3.2, -, 44.5% elo% vs. v0, avg. reward: -9.708, 2.763 sec/game, 1.5 min. total, 706.1 MB
pulsate_salute v2 149 games, 108015 moves, e=0.893, loss: 3.1, -, 42.5% elo% vs. v0, avg. reward: -9.707, 3.033 sec/game, 1.6 min. total, 705.2 MB
pulsate_salute v2 150 games, 108794 moves, e=0.892, loss: 3.1, -, 40.6% elo% vs. v0, avg. reward: -9.693, 3.285 sec/game, 1.7 min. total, 705.4 MB
pulsate_salute v2 151 games, 109572 moves, e=0.892, loss: 2.9, -, 38.8% elo% vs. v0, avg. reward: -9.681, 3.584 sec/game, 1.8 min. total, 705.5 MB
pulsate_salute v2 152 games, 110395 moves, e=0.891, loss: 2.9, -, 37.1% elo% vs. v0, avg. reward: -9.646, 3.841 sec/game, 1.9 min. total, 705.5 MB
pulsate_salute v2 153 games, 111028 moves, e=0.890, loss: 2.9, -, 35.5% elo% vs. v0, avg. reward: -9.664, 4.060 sec/game, 2.0 min. total, 701.1 MB
pulsate_salute v2 154 games, 111857 moves, e=0.889, loss: 2.9, -, 34.0% elo% vs. v0, avg. reward: -9.647, 4.327 sec/game, 2.1 min. total, 700.9 MB
pulsate_salute v2 155 games, 112642 moves, e=0.888, loss: 2.9, +, 36.8% elo% vs. v0, avg. reward: -9.637, 4.629 sec/game, 2.2 min. total, 701.9 MB
pulsate_salute v2 156 games, 113467 moves, e=0.888, loss: 3.0, -, 35.3% elo% vs. v0, avg. reward: -9.628, 4.880 sec/game, 2.3 min. total, 701.2 MB
pulsate_salute v2 157 games, 114331 moves, e=0.887, loss: 2.9, -, 33.8% elo% vs. v0, avg. reward: -9.614, 5.173 sec/game, 2.4 min. total, 703.3 MB
pulsate_salute v2 158 games, 114940 moves, e=0.886, loss: 2.9, -, 32.4% elo% vs. v0, avg. reward: -9.628, 5.329 sec/game, 2.5 min. total, 705.5 MB
