corny_hush v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.8 MB
corny_hush v4 137 games, 101168 moves, e=0.900, loss: 4.6, -, 14.4% elo% vs. random_no_suicide, avg. reward: -8.140, 1.703 sec/game, 3.2 min. total, 491.1 MB
corny_hush v4 138 games, 101838 moves, e=0.899, loss: 4.9, -, 14.1% elo% vs. random_no_suicide, avg. reward: -8.143, 1.692 sec/game, 3.2 min. total, 490.7 MB
corny_hush v4 139 games, 102724 moves, e=0.898, loss: 4.9, -, 13.8% elo% vs. random_no_suicide, avg. reward: -8.119, 1.700 sec/game, 3.2 min. total, 490.8 MB
corny_hush v4 140 games, 103455 moves, e=0.898, loss: 5.0, -, 13.5% elo% vs. random_no_suicide, avg. reward: -8.127, 1.707 sec/game, 3.3 min. total, 490.8 MB
corny_hush v4 141 games, 104167 moves, e=0.897, loss: 5.0, -, 13.2% elo% vs. random_no_suicide, avg. reward: -8.136, 1.718 sec/game, 3.3 min. total, 490.9 MB
corny_hush v4 142 games, 105036 moves, e=0.896, loss: 4.8, -, 12.9% elo% vs. random_no_suicide, avg. reward: -8.104, 1.737 sec/game, 3.3 min. total, 491.0 MB
corny_hush v4 143 games, 105771 moves, e=0.895, loss: 4.8, -, 12.6% elo% vs. random_no_suicide, avg. reward: -8.098, 1.760 sec/game, 3.4 min. total, 491.5 MB
corny_hush v4 144 games, 106637 moves, e=0.894, loss: 4.8, -, 12.4% elo% vs. random_no_suicide, avg. reward: -8.081, 1.806 sec/game, 3.4 min. total, 492.0 MB
corny_hush v4 145 games, 107469 moves, e=0.894, loss: 4.8, -, 12.1% elo% vs. random_no_suicide, avg. reward: -8.081, 1.822 sec/game, 3.4 min. total, 492.3 MB
corny_hush v4 146 games, 108252 moves, e=0.893, loss: 5.2, -, 11.9% elo% vs. random_no_suicide, avg. reward: -8.075, 1.835 sec/game, 3.5 min. total, 493.4 MB
corny_hush v4 147 games, 109099 moves, e=0.892, loss: 4.9, -, 11.7% elo% vs. random_no_suicide, avg. reward: -8.056, 1.840 sec/game, 3.5 min. total, 491.2 MB
corny_hush v4 148 games, 109880 moves, e=0.891, loss: 4.6, -, 11.5% elo% vs. random_no_suicide, avg. reward: -8.037, 1.847 sec/game, 3.5 min. total, 494.2 MB
