suffix_guts v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 311.7 MB
suffix_guts v4 134 games, 98749 moves, e=0.902, loss: 35600.5, -, 15.1% elo% vs. random_no_suicide, avg. reward: 25.997, 1.808 sec/game, 3.4 min. total, 521.2 MB
suffix_guts v4 135 games, 99484 moves, e=0.902, loss: 38031.3, -, 14.7% elo% vs. random_no_suicide, avg. reward: 26.419, 1.807 sec/game, 3.4 min. total, 520.2 MB
suffix_guts v4 136 games, 100258 moves, e=0.901, loss: 45264.4, -, 14.4% elo% vs. random_no_suicide, avg. reward: 26.340, 1.811 sec/game, 3.5 min. total, 520.1 MB
suffix_guts v4 137 games, 101112 moves, e=0.900, loss: 39624.0, -, 14.0% elo% vs. random_no_suicide, avg. reward: 26.717, 1.813 sec/game, 3.5 min. total, 520.4 MB
suffix_guts v4 138 games, 101956 moves, e=0.899, loss: 38860.4, -, 13.7% elo% vs. random_no_suicide, avg. reward: 26.879, 1.827 sec/game, 3.5 min. total, 520.5 MB
suffix_guts v4 139 games, 102732 moves, e=0.898, loss: 39346.5, -, 13.4% elo% vs. random_no_suicide, avg. reward: 26.955, 1.818 sec/game, 3.6 min. total, 521.3 MB
suffix_guts v4 140 games, 103431 moves, e=0.898, loss: 49437.4, -, 13.1% elo% vs. random_no_suicide, avg. reward: 26.833, 1.817 sec/game, 3.6 min. total, 521.3 MB
suffix_guts v4 141 games, 104203 moves, e=0.897, loss: 49295.2, -, 12.9% elo% vs. random_no_suicide, avg. reward: 26.681, 1.826 sec/game, 3.6 min. total, 521.2 MB
suffix_guts v4 142 games, 104929 moves, e=0.896, loss: 51496.5, -, 12.6% elo% vs. random_no_suicide, avg. reward: 26.701, 1.818 sec/game, 3.7 min. total, 522.5 MB
suffix_guts v4 143 games, 105700 moves, e=0.895, loss: 55276.6, -, 12.4% elo% vs. random_no_suicide, avg. reward: 26.821, 1.821 sec/game, 3.7 min. total, 521.3 MB
suffix_guts v4 144 games, 106322 moves, e=0.895, loss: 53963.1, -, 12.1% elo% vs. random_no_suicide, avg. reward: 26.799, 1.805 sec/game, 3.7 min. total, 521.4 MB
suffix_guts v4 145 games, 107134 moves, e=0.894, loss: 55658.1, -, 11.9% elo% vs. random_no_suicide, avg. reward: 26.905, 1.812 sec/game, 3.7 min. total, 521.5 MB
