subarctic_cranberry v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.5 MB
subarctic_cranberry v18 1087 games, 2388486 moves, e=0.010, loss: 1.0, +, 41.5% elo% vs. v15, avg. reward: -0.381, 9.142 sec/game, 87.8 min. total, 1004.2 MB
subarctic_cranberry v18 1088 games, 2392990 moves, e=0.010, loss: 0.9, +, 44.1% elo% vs. v15, avg. reward: -0.383, 9.133 sec/game, 88.0 min. total, 1005.5 MB
subarctic_cranberry v18 1089 games, 2397500 moves, e=0.010, loss: 1.0, +, 46.6% elo% vs. v15, avg. reward: -0.382, 9.138 sec/game, 88.1 min. total, 1006.9 MB
subarctic_cranberry v18 1090 games, 2402059 moves, e=0.010, loss: 1.0, -, 44.5% elo% vs. v15, avg. reward: -0.382, 9.225 sec/game, 88.3 min. total, 1006.5 MB
subarctic_cranberry v18 1091 games, 2406244 moves, e=0.010, loss: 1.0, +, 47.1% elo% vs. v15, avg. reward: -0.383, 9.241 sec/game, 88.4 min. total, 1007.3 MB
subarctic_cranberry v18 1092 games, 2410501 moves, e=0.010, loss: 1.3, -, 44.9% elo% vs. v15, avg. reward: -0.381, 9.295 sec/game, 88.6 min. total, 1009.1 MB
subarctic_cranberry v18 1093 games, 2414965 moves, e=0.010, loss: 1.1, +, 47.4% elo% vs. v15, avg. reward: -0.381, 9.302 sec/game, 88.8 min. total, 1008.5 MB
subarctic_cranberry v18 1094 games, 2419468 moves, e=0.010, loss: 1.0, +, 49.8% elo% vs. v15, avg. reward: -0.381, 9.349 sec/game, 88.9 min. total, 1011.3 MB
subarctic_cranberry v18 1095 games, 2424033 moves, e=0.010, loss: 1.0, -, 47.5% elo% vs. v15, avg. reward: -0.378, 9.401 sec/game, 89.1 min. total, 1011.7 MB
subarctic_cranberry v18 1096 games, 2428399 moves, e=0.010, loss: 1.0, -, 45.4% elo% vs. v15, avg. reward: -0.378, 9.426 sec/game, 89.3 min. total, 1011.6 MB
subarctic_cranberry v18 1097 games, 2433006 moves, e=0.010, loss: 1.1, -, 43.3% elo% vs. v15, avg. reward: -0.378, 9.523 sec/game, 89.4 min. total, 1012.1 MB
subarctic_cranberry v18 1098 games, 2437447 moves, e=0.010, loss: 0.8, -, 41.4% elo% vs. v15, avg. reward: -0.378, 9.622 sec/game, 89.6 min. total, 1013.8 MB
subarctic_cranberry v18 1099 games, 2441789 moves, e=0.010, loss: 1.1, -, 39.5% elo% vs. v15, avg. reward: -0.379, 9.646 sec/game, 89.8 min. total, 1013.6 MB
subarctic_cranberry v18 1100 games, 2445904 moves, e=0.010, loss: 1.3, +, 42.2% elo% vs. v15, avg. reward: -0.381, 9.645 sec/game, 89.9 min. total, 1013.2 MB
subarctic_cranberry v19 1101 games, 2450147 moves, e=0.010, loss: 1.7, ., 50.0% elo% vs. v15, avg. reward: -0.382, 9.672 sec/game, 90.1 min. total, 1012.9 MB
subarctic_cranberry v19 1102 games, 2454166 moves, e=0.010, loss: 1.6, +, 52.3% elo% vs. v15, avg. reward: -0.385, 9.672 sec/game, 90.2 min. total, 1016.5 MB
subarctic_cranberry v19 1103 games, 2458258 moves, e=0.010, loss: 1.6, -, 49.9% elo% vs. v15, avg. reward: -0.386, 9.685 sec/game, 90.4 min. total, 1017.3 MB
subarctic_cranberry v19 1104 games, 2462374 moves, e=0.010, loss: 1.7, +, 52.2% elo% vs. v15, avg. reward: -0.386, 9.752 sec/game, 90.6 min. total, 1017.4 MB
subarctic_cranberry v19 1105 games, 2466873 moves, e=0.010, loss: 1.2, -, 49.8% elo% vs. v15, avg. reward: -0.385, 9.810 sec/game, 90.8 min. total, 1017.7 MB
subarctic_cranberry v19 1106 games, 2471034 moves, e=0.010, loss: 1.2, -, 47.5% elo% vs. v15, avg. reward: -0.386, 9.825 sec/game, 90.9 min. total, 1015.3 MB
subarctic_cranberry v19 1107 games, 2475108 moves, e=0.010, loss: 1.9, ., 47.6% elo% vs. v15, avg. reward: -0.387, 9.794 sec/game, 91.1 min. total, 1019.1 MB
subarctic_cranberry v19 1108 games, 2479403 moves, e=0.010, loss: 1.5, +, 50.0% elo% vs. v15, avg. reward: -0.387, 9.768 sec/game, 91.2 min. total, 1020.2 MB
subarctic_cranberry v19 1109 games, 2484069 moves, e=0.010, loss: 1.5, +, 52.3% elo% vs. v15, avg. reward: -0.385, 9.843 sec/game, 91.4 min. total, 1019.5 MB
subarctic_cranberry v19 1110 games, 2488575 moves, e=0.010, loss: 1.2, -, 49.9% elo% vs. v15, avg. reward: -0.384, 9.832 sec/game, 91.6 min. total, 1020.5 MB
subarctic_cranberry v19 1111 games, 2493148 moves, e=0.010, loss: 1.1, ., 49.9% elo% vs. v15, avg. reward: -0.382, 9.886 sec/game, 91.7 min. total, 1020.9 MB
subarctic_cranberry v19 1112 games, 2497644 moves, e=0.010, loss: 1.4, +, 52.2% elo% vs. v15, avg. reward: -0.381, 9.871 sec/game, 91.9 min. total, 1023.1 MB
subarctic_cranberry v19 1113 games, 2502017 moves, e=0.010, loss: 1.3, +, 54.4% elo% vs. v15, avg. reward: -0.379, 9.901 sec/game, 92.1 min. total, 1022.9 MB
subarctic_cranberry v19 1114 games, 2506744 moves, e=0.010, loss: 1.3, -, 51.9% elo% vs. v15, avg. reward: -0.377, 9.934 sec/game, 92.2 min. total, 1020.7 MB
subarctic_cranberry v19 1115 games, 2510995 moves, e=0.010, loss: 1.6, -, 49.5% elo% vs. v15, avg. reward: -0.377, 9.890 sec/game, 92.4 min. total, 1024.5 MB
subarctic_cranberry v19 1116 games, 2515237 moves, e=0.010, loss: 1.9, -, 47.3% elo% vs. v15, avg. reward: -0.377, 9.900 sec/game, 92.6 min. total, 1021.7 MB
subarctic_cranberry v19 1117 games, 2519139 moves, e=0.010, loss: 1.7, -, 45.1% elo% vs. v15, avg. reward: -0.379, 9.793 sec/game, 92.7 min. total, 1025.4 MB
subarctic_cranberry v19 1118 games, 2523412 moves, e=0.010, loss: 1.5, ., 45.3% elo% vs. v15, avg. reward: -0.380, 9.749 sec/game, 92.9 min. total, 1027.2 MB
subarctic_cranberry v19 1119 games, 2528027 moves, e=0.010, loss: 1.1, +, 47.8% elo% vs. v15, avg. reward: -0.380, 9.822 sec/game, 93.0 min. total, 1027.2 MB
subarctic_cranberry v19 1120 games, 2532750 moves, e=0.010, loss: 1.2, -, 45.6% elo% vs. v15, avg. reward: -0.379, 9.873 sec/game, 93.2 min. total, 1028.7 MB
subarctic_cranberry v19 1121 games, 2537171 moves, e=0.010, loss: 1.1, +, 48.1% elo% vs. v15, avg. reward: -0.378, 9.896 sec/game, 93.4 min. total, 1029.8 MB
subarctic_cranberry v19 1122 games, 2541654 moves, e=0.010, loss: 1.3, +, 50.5% elo% vs. v15, avg. reward: -0.376, 9.917 sec/game, 93.5 min. total, 1030.3 MB
subarctic_cranberry v19 1123 games, 2545890 moves, e=0.010, loss: 1.4, +, 52.8% elo% vs. v15, avg. reward: -0.376, 9.910 sec/game, 93.7 min. total, 1031.9 MB
subarctic_cranberry v19 1124 games, 2550737 moves, e=0.010, loss: 1.3, +, 54.9% elo% vs. v15, avg. reward: -0.374, 9.931 sec/game, 93.9 min. total, 1031.4 MB
subarctic_cranberry v19 1125 games, 2555292 moves, e=0.010, loss: 1.2, -, 52.4% elo% vs. v15, avg. reward: -0.375, 9.933 sec/game, 94.1 min. total, 1030.5 MB
subarctic_cranberry v19 1126 games, 2559967 moves, e=0.010, loss: 1.2, +, 54.6% elo% vs. v15, avg. reward: -0.375, 10.037 sec/game, 94.3 min. total, 1032.5 MB
subarctic_cranberry v19 1127 games, 2564721 moves, e=0.010, loss: 1.0, +, 56.7% elo% vs. v15, avg. reward: -0.373, 10.077 sec/game, 94.4 min. total, 1033.9 MB
subarctic_cranberry v19 1128 games, 2569491 moves, e=0.010, loss: 0.9, -, 54.1% elo% vs. v15, avg. reward: -0.373, 10.106 sec/game, 94.6 min. total, 1035.6 MB
subarctic_cranberry v19 1129 games, 2573932 moves, e=0.010, loss: 0.8, -, 51.6% elo% vs. v15, avg. reward: -0.373, 10.034 sec/game, 94.8 min. total, 1035.8 MB
subarctic_cranberry v19 1130 games, 2578233 moves, e=0.010, loss: 1.4, +, 53.8% elo% vs. v15, avg. reward: -0.373, 10.072 sec/game, 94.9 min. total, 1036.2 MB
subarctic_cranberry v19 1131 games, 2582908 moves, e=0.010, loss: 1.3, +, 55.9% elo% vs. v15, avg. reward: -0.372, 10.109 sec/game, 95.1 min. total, 1038.4 MB
subarctic_cranberry v19 1132 games, 2587623 moves, e=0.010, loss: 1.0, +, 57.9% elo% vs. v15, avg. reward: -0.371, 10.184 sec/game, 95.3 min. total, 1039.6 MB
subarctic_cranberry v19 1133 games, 2592309 moves, e=0.010, loss: 1.0, +, 59.8% elo% vs. v15, avg. reward: -0.370, 10.218 sec/game, 95.5 min. total, 1040.7 MB
subarctic_cranberry v19 1134 games, 2596786 moves, e=0.010, loss: 1.1, +, 61.6% elo% vs. v15, avg. reward: -0.370, 10.177 sec/game, 95.6 min. total, 1040.1 MB
subarctic_cranberry v19 1135 games, 2601220 moves, e=0.010, loss: 1.0, -, 58.9% elo% vs. v15, avg. reward: -0.370, 10.202 sec/game, 95.8 min. total, 1040.1 MB
subarctic_cranberry v19 1136 games, 2605720 moves, e=0.010, loss: 1.0, +, 60.7% elo% vs. v15, avg. reward: -0.367, 10.197 sec/game, 96.0 min. total, 1040.5 MB
subarctic_cranberry v19 1137 games, 2610274 moves, e=0.010, loss: 1.0, -, 58.0% elo% vs. v15, avg. reward: -0.366, 10.250 sec/game, 96.1 min. total, 1038.8 MB
subarctic_cranberry v19 1138 games, 2614255 moves, e=0.010, loss: 1.4, +, 59.9% elo% vs. v15, avg. reward: -0.367, 10.217 sec/game, 96.3 min. total, 1041.7 MB
subarctic_cranberry v19 1139 games, 2618340 moves, e=0.010, loss: 1.6, -, 57.2% elo% vs. v15, avg. reward: -0.370, 10.121 sec/game, 96.4 min. total, 1041.6 MB
subarctic_cranberry v19 1140 games, 2622910 moves, e=0.010, loss: 1.3, -, 54.6% elo% vs. v15, avg. reward: -0.370, 10.069 sec/game, 96.6 min. total, 1041.1 MB
subarctic_cranberry v19 1141 games, 2627102 moves, e=0.010, loss: 1.6, -, 52.1% elo% vs. v15, avg. reward: -0.370, 10.040 sec/game, 96.7 min. total, 1044.0 MB
subarctic_cranberry v19 1142 games, 2631267 moves, e=0.010, loss: 1.7, -, 49.7% elo% vs. v15, avg. reward: -0.371, 10.053 sec/game, 96.9 min. total, 1041.8 MB
subarctic_cranberry v19 1143 games, 2635490 moves, e=0.010, loss: 1.6, +, 52.0% elo% vs. v15, avg. reward: -0.372, 10.029 sec/game, 97.1 min. total, 1044.4 MB
subarctic_cranberry v19 1144 games, 2640129 moves, e=0.010, loss: 1.1, +, 54.2% elo% vs. v15, avg. reward: -0.372, 10.043 sec/game, 97.2 min. total, 1049.2 MB
subarctic_cranberry v19 1145 games, 2644367 moves, e=0.010, loss: 1.2, -, 51.7% elo% vs. v15, avg. reward: -0.373, 10.000 sec/game, 97.4 min. total, 1047.8 MB
subarctic_cranberry v19 1146 games, 2648716 moves, e=0.010, loss: 1.2, -, 49.3% elo% vs. v15, avg. reward: -0.373, 9.942 sec/game, 97.6 min. total, 1048.0 MB
subarctic_cranberry v19 1147 games, 2653012 moves, e=0.010, loss: 1.3, +, 51.7% elo% vs. v15, avg. reward: -0.373, 9.902 sec/game, 97.7 min. total, 1050.6 MB
subarctic_cranberry v19 1148 games, 2657313 moves, e=0.010, loss: 1.4, +, 53.9% elo% vs. v15, avg. reward: -0.372, 9.872 sec/game, 97.9 min. total, 1051.7 MB
subarctic_cranberry v19 1149 games, 2661625 moves, e=0.010, loss: 1.3, -, 51.4% elo% vs. v15, avg. reward: -0.370, 9.871 sec/game, 98.0 min. total, 1050.1 MB
subarctic_cranberry v19 1150 games, 2664926 moves, e=0.010, loss: 1.5, -, 49.0% elo% vs. v15, avg. reward: -0.373, 9.691 sec/game, 98.2 min. total, 1052.8 MB
subarctic_cranberry v19 1151 games, 2668716 moves, e=0.010, loss: 2.1, +, 51.4% elo% vs. v15, avg. reward: -0.375, 9.575 sec/game, 98.3 min. total, 1052.5 MB
subarctic_cranberry v19 1152 games, 2673282 moves, e=0.010, loss: 2.0, -, 49.0% elo% vs. v15, avg. reward: -0.374, 9.499 sec/game, 98.5 min. total, 1054.1 MB
subarctic_cranberry v19 1153 games, 2677585 moves, e=0.010, loss: 1.3, -, 46.8% elo% vs. v15, avg. reward: -0.374, 9.427 sec/game, 98.6 min. total, 1051.6 MB
subarctic_cranberry v19 1154 games, 2682140 moves, e=0.010, loss: 1.1, -, 44.6% elo% vs. v15, avg. reward: -0.373, 9.410 sec/game, 98.8 min. total, 1054.2 MB
subarctic_cranberry v19 1155 games, 2686755 moves, e=0.010, loss: 1.2, +, 47.2% elo% vs. v15, avg. reward: -0.373, 9.437 sec/game, 99.0 min. total, 1053.8 MB
subarctic_cranberry v19 1156 games, 2691461 moves, e=0.010, loss: 1.1, -, 45.0% elo% vs. v15, avg. reward: -0.372, 9.534 sec/game, 99.1 min. total, 1051.6 MB
subarctic_cranberry v19 1157 games, 2695539 moves, e=0.010, loss: 1.4, +, 47.5% elo% vs. v15, avg. reward: -0.374, 9.530 sec/game, 99.3 min. total, 1055.3 MB
subarctic_cranberry v19 1158 games, 2700090 moves, e=0.010, loss: 1.3, -, 45.3% elo% vs. v15, avg. reward: -0.374, 9.627 sec/game, 99.5 min. total, 1055.3 MB
subarctic_cranberry v19 1159 games, 2704286 moves, e=0.010, loss: 1.3, +, 47.9% elo% vs. v15, avg. reward: -0.376, 9.666 sec/game, 99.6 min. total, 1057.6 MB
subarctic_cranberry v19 1160 games, 2708563 moves, e=0.010, loss: 1.7, +, 50.3% elo% vs. v15, avg. reward: -0.375, 9.705 sec/game, 99.8 min. total, 1059.6 MB
subarctic_cranberry v19 1161 games, 2713187 moves, e=0.010, loss: 1.3, ., 50.2% elo% vs. v15, avg. reward: -0.373, 9.774 sec/game, 100.0 min. total, 1061.8 MB
subarctic_cranberry v19 1162 games, 2717595 moves, e=0.010, loss: 1.0, -, 47.9% elo% vs. v15, avg. reward: -0.372, 9.766 sec/game, 100.2 min. total, 1058.9 MB
subarctic_cranberry v19 1163 games, 2722147 moves, e=0.010, loss: 0.9, ., 48.0% elo% vs. v15, avg. reward: -0.371, 9.817 sec/game, 100.3 min. total, 1060.8 MB
subarctic_cranberry v19 1164 games, 2726553 moves, e=0.010, loss: 1.1, -, 45.8% elo% vs. v15, avg. reward: -0.371, 9.786 sec/game, 100.5 min. total, 1061.2 MB
subarctic_cranberry v19 1165 games, 2730899 moves, e=0.010, loss: 1.5, ., 46.0% elo% vs. v15, avg. reward: -0.371, 9.846 sec/game, 100.7 min. total, 1062.7 MB
subarctic_cranberry v19 1166 games, 2735410 moves, e=0.010, loss: 1.5, -, 43.9% elo% vs. v15, avg. reward: -0.369, 9.855 sec/game, 100.9 min. total, 1061.9 MB
subarctic_cranberry v19 1167 games, 2739560 moves, e=0.010, loss: 1.3, -, 41.9% elo% vs. v15, avg. reward: -0.369, 9.840 sec/game, 101.0 min. total, 1062.9 MB
subarctic_cranberry v19 1168 games, 2743770 moves, e=0.010, loss: 1.6, +, 44.6% elo% vs. v15, avg. reward: -0.368, 9.825 sec/game, 101.2 min. total, 1064.6 MB
subarctic_cranberry v19 1169 games, 2748105 moves, e=0.010, loss: 1.6, +, 47.1% elo% vs. v15, avg. reward: -0.368, 9.817 sec/game, 101.3 min. total, 1065.4 MB
subarctic_cranberry v19 1170 games, 2752901 moves, e=0.010, loss: 1.2, +, 49.5% elo% vs. v15, avg. reward: -0.365, 9.954 sec/game, 101.5 min. total, 1066.0 MB
subarctic_cranberry v19 1171 games, 2757574 moves, e=0.010, loss: 0.9, +, 51.8% elo% vs. v15, avg. reward: -0.363, 10.060 sec/game, 101.7 min. total, 1065.8 MB
subarctic_cranberry v19 1172 games, 2762092 moves, e=0.010, loss: 1.2, -, 49.5% elo% vs. v15, avg. reward: -0.363, 10.080 sec/game, 101.8 min. total, 1063.9 MB
subarctic_cranberry v19 1173 games, 2766005 moves, e=0.010, loss: 1.9, -, 47.2% elo% vs. v15, avg. reward: -0.364, 10.062 sec/game, 102.0 min. total, 1068.7 MB
subarctic_cranberry v19 1174 games, 2770015 moves, e=0.010, loss: 2.1, -, 45.0% elo% vs. v15, avg. reward: -0.366, 9.995 sec/game, 102.1 min. total, 1069.1 MB
subarctic_cranberry v19 1175 games, 2774041 moves, e=0.010, loss: 2.4, -, 43.0% elo% vs. v15, avg. reward: -0.369, 9.918 sec/game, 102.3 min. total, 1070.3 MB
subarctic_cranberry v19 1176 games, 2777977 moves, e=0.010, loss: 1.9, -, 41.1% elo% vs. v15, avg. reward: -0.372, 9.783 sec/game, 102.4 min. total, 1068.2 MB
subarctic_cranberry v19 1177 games, 2782218 moves, e=0.010, loss: 1.6, -, 39.2% elo% vs. v15, avg. reward: -0.371, 9.796 sec/game, 102.6 min. total, 1068.6 MB
subarctic_cranberry v19 1178 games, 2786323 moves, e=0.010, loss: 1.3, +, 41.9% elo% vs. v15, avg. reward: -0.370, 9.710 sec/game, 102.7 min. total, 1071.7 MB
subarctic_cranberry v19 1179 games, 2790626 moves, e=0.010, loss: 1.3, -, 40.1% elo% vs. v15, avg. reward: -0.370, 9.694 sec/game, 102.9 min. total, 1070.8 MB
subarctic_cranberry v19 1180 games, 2795087 moves, e=0.010, loss: 1.6, +, 42.7% elo% vs. v15, avg. reward: -0.369, 9.674 sec/game, 103.0 min. total, 1071.5 MB
subarctic_cranberry v19 1181 games, 2799590 moves, e=0.010, loss: 1.5, +, 45.3% elo% vs. v15, avg. reward: -0.367, 9.636 sec/game, 103.2 min. total, 1074.9 MB
subarctic_cranberry v19 1182 games, 2804272 moves, e=0.010, loss: 0.9, ., 45.6% elo% vs. v15, avg. reward: -0.365, 9.646 sec/game, 103.4 min. total, 1075.5 MB
subarctic_cranberry v19 1183 games, 2808415 moves, e=0.010, loss: 1.2, -, 43.5% elo% vs. v15, avg. reward: -0.363, 9.556 sec/game, 103.5 min. total, 1076.3 MB
subarctic_cranberry v19 1184 games, 2812557 moves, e=0.010, loss: 1.1, +, 46.1% elo% vs. v15, avg. reward: -0.360, 9.498 sec/game, 103.7 min. total, 1077.8 MB
subarctic_cranberry v19 1185 games, 2816175 moves, e=0.010, loss: 1.2, +, 48.5% elo% vs. v15, avg. reward: -0.363, 9.350 sec/game, 103.8 min. total, 1077.9 MB
subarctic_cranberry v19 1186 games, 2820652 moves, e=0.010, loss: 1.1, +, 50.9% elo% vs. v15, avg. reward: -0.363, 9.329 sec/game, 104.0 min. total, 1078.4 MB
subarctic_cranberry v19 1187 games, 2825379 moves, e=0.010, loss: 0.9, -, 48.6% elo% vs. v15, avg. reward: -0.363, 9.369 sec/game, 104.1 min. total, 1078.7 MB
subarctic_cranberry v19 1188 games, 2829687 moves, e=0.010, loss: 1.0, +, 50.9% elo% vs. v15, avg. reward: -0.363, 9.342 sec/game, 104.3 min. total, 1078.0 MB
subarctic_cranberry v19 1189 games, 2834181 moves, e=0.010, loss: 1.2, -, 48.6% elo% vs. v15, avg. reward: -0.363, 9.354 sec/game, 104.4 min. total, 1080.6 MB
subarctic_cranberry v19 1190 games, 2838687 moves, e=0.010, loss: 1.1, -, 46.4% elo% vs. v15, avg. reward: -0.364, 9.364 sec/game, 104.6 min. total, 1079.5 MB
subarctic_cranberry v19 1191 games, 2842823 moves, e=0.010, loss: 1.5, -, 44.2% elo% vs. v15, avg. reward: -0.365, 9.274 sec/game, 104.7 min. total, 1084.7 MB
subarctic_cranberry v19 1192 games, 2847150 moves, e=0.010, loss: 1.6, +, 46.8% elo% vs. v15, avg. reward: -0.365, 9.224 sec/game, 104.9 min. total, 1082.8 MB
subarctic_cranberry v19 1193 games, 2851556 moves, e=0.010, loss: 1.4, -, 44.6% elo% vs. v15, avg. reward: -0.365, 9.272 sec/game, 105.1 min. total, 1082.6 MB
subarctic_cranberry v19 1194 games, 2856123 moves, e=0.010, loss: 1.3, -, 42.6% elo% vs. v15, avg. reward: -0.364, 9.322 sec/game, 105.2 min. total, 1083.1 MB
subarctic_cranberry v19 1195 games, 2860549 moves, e=0.010, loss: 1.1, -, 40.7% elo% vs. v15, avg. reward: -0.365, 9.326 sec/game, 105.4 min. total, 1081.6 MB
subarctic_cranberry v19 1196 games, 2864955 moves, e=0.010, loss: 1.3, -, 38.9% elo% vs. v15, avg. reward: -0.365, 9.360 sec/game, 105.5 min. total, 1081.8 MB
subarctic_cranberry v19 1197 games, 2869171 moves, e=0.010, loss: 1.5, -, 37.2% elo% vs. v15, avg. reward: -0.366, 9.380 sec/game, 105.7 min. total, 1083.8 MB
subarctic_cranberry v19 1198 games, 2873268 moves, e=0.010, loss: 1.3, ., 37.8% elo% vs. v15, avg. reward: -0.369, 9.351 sec/game, 105.8 min. total, 1086.4 MB
subarctic_cranberry v19 1199 games, 2878154 moves, e=0.010, loss: 1.2, -, 36.2% elo% vs. v15, avg. reward: -0.367, 9.409 sec/game, 106.0 min. total, 1084.9 MB
subarctic_cranberry v19 1200 games, 2882825 moves, e=0.010, loss: 1.1, -, 34.6% elo% vs. v15, avg. reward: -0.366, 9.432 sec/game, 106.2 min. total, 1086.5 MB
subarctic_cranberry v20 1201 games, 2887133 moves, e=0.010, loss: 1.1, -, 47.7% elo% vs. v15, avg. reward: -0.366, 9.441 sec/game, 106.4 min. total, 1086.1 MB
subarctic_cranberry v20 1202 games, 2891626 moves, e=0.010, loss: 1.5, +, 50.1% elo% vs. v15, avg. reward: -0.362, 9.463 sec/game, 106.5 min. total, 1092.9 MB
subarctic_cranberry v20 1203 games, 2895987 moves, e=0.010, loss: 1.2, +, 52.4% elo% vs. v15, avg. reward: -0.361, 9.523 sec/game, 106.7 min. total, 1090.5 MB
subarctic_cranberry v20 1204 games, 2900270 moves, e=0.010, loss: 1.3, -, 50.0% elo% vs. v15, avg. reward: -0.360, 9.512 sec/game, 106.8 min. total, 1088.8 MB
subarctic_cranberry v20 1205 games, 2904226 moves, e=0.010, loss: 1.4, +, 52.3% elo% vs. v15, avg. reward: -0.362, 9.530 sec/game, 107.0 min. total, 1091.5 MB
subarctic_cranberry v20 1206 games, 2908562 moves, e=0.010, loss: 1.3, +, 54.5% elo% vs. v15, avg. reward: -0.362, 9.465 sec/game, 107.1 min. total, 1092.6 MB
subarctic_cranberry v20 1207 games, 2913001 moves, e=0.010, loss: 1.5, +, 56.5% elo% vs. v15, avg. reward: -0.361, 9.451 sec/game, 107.3 min. total, 1095.6 MB
subarctic_cranberry v20 1208 games, 2916973 moves, e=0.010, loss: 1.6, -, 54.0% elo% vs. v15, avg. reward: -0.360, 9.487 sec/game, 107.4 min. total, 1092.4 MB
subarctic_cranberry v20 1209 games, 2921353 moves, e=0.010, loss: 1.6, -, 51.5% elo% vs. v15, avg. reward: -0.360, 9.534 sec/game, 107.6 min. total, 1094.6 MB
subarctic_cranberry v20 1210 games, 2925990 moves, e=0.010, loss: 1.4, -, 49.1% elo% vs. v15, avg. reward: -0.360, 9.549 sec/game, 107.8 min. total, 1092.2 MB
subarctic_cranberry v20 1211 games, 2930262 moves, e=0.010, loss: 1.3, -, 46.9% elo% vs. v15, avg. reward: -0.361, 9.596 sec/game, 107.9 min. total, 1096.0 MB
subarctic_cranberry v20 1212 games, 2934692 moves, e=0.010, loss: 1.2, +, 49.3% elo% vs. v15, avg. reward: -0.361, 9.651 sec/game, 108.1 min. total, 1098.7 MB
subarctic_cranberry v20 1213 games, 2938671 moves, e=0.010, loss: 1.2, +, 51.6% elo% vs. v15, avg. reward: -0.363, 9.620 sec/game, 108.3 min. total, 1101.3 MB
subarctic_cranberry v20 1214 games, 2942892 moves, e=0.010, loss: 1.4, +, 53.9% elo% vs. v15, avg. reward: -0.365, 9.579 sec/game, 108.4 min. total, 1098.5 MB
subarctic_cranberry v20 1215 games, 2947452 moves, e=0.010, loss: 0.9, -, 51.4% elo% vs. v15, avg. reward: -0.363, 9.631 sec/game, 108.6 min. total, 1099.6 MB
subarctic_cranberry v20 1216 games, 2951763 moves, e=0.010, loss: 0.8, +, 53.6% elo% vs. v15, avg. reward: -0.363, 9.670 sec/game, 108.7 min. total, 1100.5 MB
subarctic_cranberry v20 1217 games, 2955840 moves, e=0.010, loss: 1.2, +, 55.7% elo% vs. v15, avg. reward: -0.362, 9.646 sec/game, 108.9 min. total, 1101.3 MB
subarctic_cranberry v20 1218 games, 2960184 moves, e=0.010, loss: 1.5, -, 53.2% elo% vs. v15, avg. reward: -0.362, 9.674 sec/game, 109.1 min. total, 1101.3 MB
subarctic_cranberry v20 1219 games, 2964673 moves, e=0.010, loss: 1.4, ., 53.0% elo% vs. v15, avg. reward: -0.363, 9.652 sec/game, 109.2 min. total, 1101.2 MB
subarctic_cranberry v20 1220 games, 2968648 moves, e=0.010, loss: 1.5, +, 55.2% elo% vs. v15, avg. reward: -0.365, 9.560 sec/game, 109.4 min. total, 1101.4 MB
subarctic_cranberry v20 1221 games, 2972722 moves, e=0.010, loss: 1.8, +, 57.2% elo% vs. v15, avg. reward: -0.366, 9.546 sec/game, 109.5 min. total, 1104.4 MB
subarctic_cranberry v20 1222 games, 2976797 moves, e=0.010, loss: 1.8, +, 59.1% elo% vs. v15, avg. reward: -0.367, 9.538 sec/game, 109.7 min. total, 1104.4 MB
subarctic_cranberry v20 1223 games, 2980508 moves, e=0.010, loss: 1.8, -, 56.5% elo% vs. v15, avg. reward: -0.368, 9.491 sec/game, 109.8 min. total, 1104.3 MB
subarctic_cranberry v20 1224 games, 2984685 moves, e=0.010, loss: 1.7, -, 53.9% elo% vs. v15, avg. reward: -0.370, 9.526 sec/game, 110.0 min. total, 1102.7 MB
subarctic_cranberry v20 1225 games, 2988960 moves, e=0.010, loss: 2.2, +, 56.0% elo% vs. v15, avg. reward: -0.371, 9.587 sec/game, 110.2 min. total, 1105.3 MB
subarctic_cranberry v20 1226 games, 2993454 moves, e=0.010, loss: 1.4, +, 58.0% elo% vs. v15, avg. reward: -0.371, 9.614 sec/game, 110.3 min. total, 1106.8 MB
subarctic_cranberry v20 1227 games, 2997637 moves, e=0.010, loss: 1.2, -, 55.4% elo% vs. v15, avg. reward: -0.372, 9.585 sec/game, 110.5 min. total, 1106.9 MB
subarctic_cranberry v20 1228 games, 3001859 moves, e=0.010, loss: 1.1, -, 52.8% elo% vs. v15, avg. reward: -0.373, 9.605 sec/game, 110.6 min. total, 1106.1 MB
subarctic_cranberry v20 1229 games, 3006164 moves, e=0.010, loss: 1.3, +, 55.0% elo% vs. v15, avg. reward: -0.372, 9.609 sec/game, 110.8 min. total, 1107.2 MB
subarctic_cranberry v20 1230 games, 3010307 moves, e=0.010, loss: 1.3, +, 57.0% elo% vs. v15, avg. reward: -0.373, 9.624 sec/game, 111.0 min. total, 1107.5 MB
subarctic_cranberry v20 1231 games, 3014765 moves, e=0.010, loss: 1.1, +, 59.0% elo% vs. v15, avg. reward: -0.374, 9.638 sec/game, 111.2 min. total, 1108.8 MB
subarctic_cranberry v20 1232 games, 3019251 moves, e=0.010, loss: 1.2, +, 60.8% elo% vs. v15, avg. reward: -0.376, 9.704 sec/game, 111.4 min. total, 1109.9 MB
subarctic_cranberry v20 1233 games, 3023189 moves, e=0.010, loss: 1.3, -, 58.1% elo% vs. v15, avg. reward: -0.378, 9.709 sec/game, 111.5 min. total, 1110.0 MB
subarctic_cranberry v20 1234 games, 3027426 moves, e=0.010, loss: 1.5, -, 55.5% elo% vs. v15, avg. reward: -0.379, 9.756 sec/game, 111.7 min. total, 1114.1 MB
