sanding_take v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.7 MB
sanding_take v4 126 games, 93128 moves, e=0.908, loss: 2448.3, -, 19.7% elo% vs. random_no_suicide, avg. reward: 26.226, 1.546 sec/game, 2.9 min. total, 454.7 MB
sanding_take v4 127 games, 93774 moves, e=0.907, loss: 2335.3, -, 19.1% elo% vs. random_no_suicide, avg. reward: 26.199, 1.524 sec/game, 2.9 min. total, 454.7 MB
sanding_take v4 128 games, 94482 moves, e=0.906, loss: 2365.6, -, 18.6% elo% vs. random_no_suicide, avg. reward: 26.195, 1.515 sec/game, 3.0 min. total, 454.6 MB
sanding_take v4 129 games, 95157 moves, e=0.906, loss: 2403.0, -, 18.1% elo% vs. random_no_suicide, avg. reward: 26.188, 1.519 sec/game, 3.0 min. total, 454.6 MB
sanding_take v4 130 games, 95936 moves, e=0.905, loss: 2509.3, -, 17.6% elo% vs. random_no_suicide, avg. reward: 26.206, 1.523 sec/game, 3.0 min. total, 454.8 MB
sanding_take v4 131 games, 96759 moves, e=0.904, loss: 2602.3, -, 17.1% elo% vs. random_no_suicide, avg. reward: 26.214, 1.513 sec/game, 3.1 min. total, 454.8 MB
sanding_take v4 132 games, 97566 moves, e=0.903, loss: 2627.9, -, 16.7% elo% vs. random_no_suicide, avg. reward: 26.228, 1.524 sec/game, 3.1 min. total, 454.3 MB
sanding_take v4 133 games, 98209 moves, e=0.903, loss: 2786.0, -, 16.3% elo% vs. random_no_suicide, avg. reward: 26.246, 1.509 sec/game, 3.1 min. total, 454.7 MB
sanding_take v4 134 games, 98883 moves, e=0.902, loss: 2633.2, -, 15.9% elo% vs. random_no_suicide, avg. reward: 26.241, 1.501 sec/game, 3.1 min. total, 454.2 MB
sanding_take v4 135 games, 99596 moves, e=0.901, loss: 2552.2, -, 15.5% elo% vs. random_no_suicide, avg. reward: 26.222, 1.505 sec/game, 3.1 min. total, 455.0 MB
sanding_take v4 136 games, 100380 moves, e=0.901, loss: 2508.3, -, 15.1% elo% vs. random_no_suicide, avg. reward: 26.204, 1.506 sec/game, 3.2 min. total, 456.6 MB
sanding_take v4 137 games, 101155 moves, e=0.900, loss: 2598.5, -, 14.7% elo% vs. random_no_suicide, avg. reward: 26.221, 1.498 sec/game, 3.2 min. total, 457.3 MB
sanding_take v4 138 games, 101923 moves, e=0.899, loss: 2580.8, -, 14.4% elo% vs. random_no_suicide, avg. reward: 26.234, 1.503 sec/game, 3.2 min. total, 457.6 MB
sanding_take v4 139 games, 102735 moves, e=0.898, loss: 2511.1, -, 14.1% elo% vs. random_no_suicide, avg. reward: 26.237, 1.505 sec/game, 3.3 min. total, 457.8 MB
sanding_take v4 140 games, 103430 moves, e=0.898, loss: 2586.5, -, 13.8% elo% vs. random_no_suicide, avg. reward: 26.217, 1.564 sec/game, 3.3 min. total, 457.6 MB
sanding_take v4 141 games, 104166 moves, e=0.897, loss: 2561.7, -, 13.5% elo% vs. random_no_suicide, avg. reward: 26.213, 1.589 sec/game, 3.3 min. total, 457.6 MB
sanding_take v4 142 games, 104979 moves, e=0.896, loss: 2484.2, -, 13.2% elo% vs. random_no_suicide, avg. reward: 26.202, 1.613 sec/game, 3.4 min. total, 457.7 MB
sanding_take v4 143 games, 105732 moves, e=0.895, loss: 2554.7, -, 12.9% elo% vs. random_no_suicide, avg. reward: 26.185, 1.632 sec/game, 3.4 min. total, 457.8 MB
sanding_take v4 144 games, 106459 moves, e=0.895, loss: 2659.4, -, 12.6% elo% vs. random_no_suicide, avg. reward: 26.161, 1.652 sec/game, 3.4 min. total, 457.9 MB
sanding_take v4 145 games, 107273 moves, e=0.894, loss: 2562.7, -, 12.4% elo% vs. random_no_suicide, avg. reward: 26.166, 1.681 sec/game, 3.5 min. total, 457.8 MB
sanding_take v4 146 games, 107961 moves, e=0.893, loss: 2655.5, -, 12.1% elo% vs. random_no_suicide, avg. reward: 26.158, 1.675 sec/game, 3.5 min. total, 458.6 MB
sanding_take v4 147 games, 108756 moves, e=0.892, loss: 2723.4, -, 11.9% elo% vs. random_no_suicide, avg. reward: 26.153, 1.707 sec/game, 3.5 min. total, 460.4 MB
sanding_take v4 148 games, 109481 moves, e=0.892, loss: 2794.7, -, 11.7% elo% vs. random_no_suicide, avg. reward: 26.169, 1.737 sec/game, 3.6 min. total, 460.7 MB
