subfloor_cuddly v4 262 games, 135902 moves, e=0.865, loss: 5.1, -, 26.5% elo% vs. random_no_suicide, avg. reward: -9.635, 3.016 sec/game, 4.2 min. total, 772.3 MB
subfloor_cuddly v4 264 games, 136941 moves, e=0.864, loss: 5.1, ., 27.4% elo% vs. random_no_suicide, avg. reward: -9.632, 3.006 sec/game, 4.3 min. total, 774.4 MB
subfloor_cuddly v4 266 games, 138024 moves, e=0.863, loss: 5.0, +, 30.1% elo% vs. random_no_suicide, avg. reward: -9.606, 2.993 sec/game, 4.4 min. total, 774.2 MB
subfloor_cuddly v4 268 games, 138949 moves, e=0.862, loss: 5.0, -, 29.0% elo% vs. random_no_suicide, avg. reward: -9.585, 2.891 sec/game, 4.4 min. total, 774.2 MB
subfloor_cuddly v4 270 games, 139955 moves, e=0.861, loss: 4.9, -, 27.9% elo% vs. random_no_suicide, avg. reward: -9.596, 2.883 sec/game, 4.5 min. total, 775.4 MB
subfloor_cuddly v4 272 games, 141115 moves, e=0.860, loss: 4.9, -, 26.9% elo% vs. random_no_suicide, avg. reward: -9.567, 2.884 sec/game, 4.6 min. total, 775.8 MB
subfloor_cuddly v4 274 games, 142231 moves, e=0.859, loss: 4.9, -, 25.9% elo% vs. random_no_suicide, avg. reward: -9.559, 2.869 sec/game, 4.7 min. total, 775.9 MB
subfloor_cuddly v4 276 games, 143353 moves, e=0.858, loss: 5.0, -, 25.0% elo% vs. random_no_suicide, avg. reward: -9.514, 2.844 sec/game, 4.8 min. total, 776.9 MB
subfloor_cuddly v4 278 games, 144504 moves, e=0.857, loss: 5.0, -, 24.1% elo% vs. random_no_suicide, avg. reward: -9.510, 2.877 sec/game, 4.9 min. total, 777.8 MB
subfloor_cuddly v4 280 games, 145738 moves, e=0.856, loss: 4.8, -, 23.3% elo% vs. random_no_suicide, avg. reward: -9.461, 2.936 sec/game, 5.0 min. total, 778.6 MB
subfloor_cuddly v4 282 games, 146884 moves, e=0.855, loss: 4.8, +, 26.0% elo% vs. random_no_suicide, avg. reward: -9.426, 2.937 sec/game, 5.1 min. total, 779.6 MB
subfloor_cuddly v4 284 games, 147972 moves, e=0.854, loss: 4.8, -, 25.1% elo% vs. random_no_suicide, avg. reward: -9.412, 2.968 sec/game, 5.2 min. total, 780.6 MB
subfloor_cuddly v4 286 games, 149076 moves, e=0.852, loss: 4.9, ., 25.9% elo% vs. random_no_suicide, avg. reward: -9.427, 2.940 sec/game, 5.3 min. total, 782.0 MB
subfloor_cuddly v4 288 games, 150241 moves, e=0.851, loss: 4.8, +, 28.6% elo% vs. random_no_suicide, avg. reward: -9.432, 3.017 sec/game, 5.4 min. total, 781.7 MB
subfloor_cuddly v4 290 games, 151302 moves, e=0.850, loss: 4.8, -, 27.6% elo% vs. random_no_suicide, avg. reward: -9.421, 3.048 sec/game, 5.5 min. total, 782.3 MB
subfloor_cuddly v4 292 games, 152496 moves, e=0.849, loss: 4.8, +, 30.3% elo% vs. random_no_suicide, avg. reward: -9.387, 3.038 sec/game, 5.6 min. total, 782.8 MB
subfloor_cuddly v4 294 games, 153495 moves, e=0.848, loss: 4.6, -, 29.1% elo% vs. random_no_suicide, avg. reward: -9.388, 3.006 sec/game, 5.7 min. total, 784.0 MB
subfloor_cuddly v4 296 games, 154638 moves, e=0.847, loss: 4.7, -, 28.0% elo% vs. random_no_suicide, avg. reward: -9.347, 3.035 sec/game, 5.8 min. total, 784.5 MB
subfloor_cuddly v4 298 games, 155795 moves, e=0.846, loss: 4.7, -, 27.0% elo% vs. random_no_suicide, avg. reward: -9.350, 3.029 sec/game, 5.9 min. total, 784.9 MB
