enrich_mushiness v2 142 games, 88168 moves, e=0.913, loss: nan, +, 43.7% elo% vs. v0, avg. reward: -10.429, 0.509 sec/game, 1.1 min. total, 759.5 MB
enrich_mushiness v2 143 games, 88859 moves, e=0.912, loss: nan, +, 46.3% elo% vs. v0, avg. reward: -10.447, 0.514 sec/game, 1.1 min. total, 760.8 MB
enrich_mushiness v2 144 games, 89656 moves, e=0.911, loss: nan, ., 46.4% elo% vs. v0, avg. reward: -10.429, 0.518 sec/game, 1.1 min. total, 764.1 MB
enrich_mushiness v2 145 games, 90489 moves, e=0.910, loss: nan, -, 44.3% elo% vs. v0, avg. reward: -10.415, 0.522 sec/game, 1.1 min. total, 767.5 MB
enrich_mushiness v2 146 games, 91184 moves, e=0.910, loss: nan, ., 44.6% elo% vs. v0, avg. reward: -10.422, 0.434 sec/game, 1.2 min. total, 770.1 MB
enrich_mushiness v2 147 games, 91999 moves, e=0.909, loss: nan, -, 42.6% elo% vs. v0, avg. reward: -10.419, 0.437 sec/game, 1.2 min. total, 773.4 MB
enrich_mushiness v2 149 games, 92996 moves, e=0.908, loss: nan, ., 42.9% elo% vs. v0, avg. reward: -10.408, 0.494 sec/game, 1.2 min. total, 777.4 MB
enrich_mushiness v2 150 games, 93646 moves, e=0.907, loss: nan, ., 43.2% elo% vs. v0, avg. reward: -10.408, 0.495 sec/game, 1.2 min. total, 779.9 MB
enrich_mushiness v2 151 games, 94352 moves, e=0.907, loss: nan, ., 43.5% elo% vs. v0, avg. reward: -10.411, 0.492 sec/game, 1.2 min. total, 782.8 MB
enrich_mushiness v2 152 games, 95097 moves, e=0.906, loss: nan, +, 46.1% elo% vs. v0, avg. reward: -10.395, 0.495 sec/game, 1.2 min. total, 785.9 MB
enrich_mushiness v2 153 games, 95911 moves, e=0.905, loss: nan, -, 44.0% elo% vs. v0, avg. reward: -10.365, 0.498 sec/game, 1.2 min. total, 789.3 MB
enrich_mushiness v2 154 games, 96713 moves, e=0.904, loss: nan, -, 42.0% elo% vs. v0, avg. reward: -10.341, 0.502 sec/game, 1.2 min. total, 792.9 MB
enrich_mushiness v2 155 games, 97389 moves, e=0.904, loss: nan, ., 42.4% elo% vs. v0, avg. reward: -10.339, 0.508 sec/game, 1.2 min. total, 795.9 MB
enrich_mushiness v2 156 games, 98239 moves, e=0.903, loss: nan, +, 45.0% elo% vs. v0, avg. reward: -10.311, 0.511 sec/game, 1.2 min. total, 800.0 MB
enrich_mushiness v2 157 games, 98956 moves, e=0.902, loss: nan, ., 45.2% elo% vs. v0, avg. reward: -10.321, 0.513 sec/game, 1.3 min. total, 805.1 MB
enrich_mushiness v2 159 games, 100018 moves, e=0.901, loss: nan, -, 43.2% elo% vs. v0, avg. reward: -10.305, 0.567 sec/game, 1.3 min. total, 813.9 MB
enrich_mushiness v2 161 games, 100998 moves, e=0.900, loss: 48.0, +, 45.7% elo% vs. v0, avg. reward: -10.312, 0.950 sec/game, 1.4 min. total, 873.0 MB
enrich_mushiness v2 162 games, 101711 moves, e=0.899, loss: 31.7, +, 48.2% elo% vs. v0, avg. reward: -10.313, 1.158 sec/game, 1.5 min. total, 874.2 MB
enrich_mushiness v2 163 games, 102480 moves, e=0.899, loss: 19.1, +, 50.6% elo% vs. v0, avg. reward: -10.310, 1.419 sec/game, 1.6 min. total, 874.9 MB
enrich_mushiness v2 165 games, 103502 moves, e=0.898, loss: 10.4, +, 52.9% elo% vs. v0, avg. reward: -10.310, 1.822 sec/game, 1.8 min. total, 875.2 MB
enrich_mushiness v2 166 games, 104431 moves, e=0.897, loss: 7.0, +, 55.0% elo% vs. v0, avg. reward: -10.290, 2.117 sec/game, 1.9 min. total, 876.5 MB
enrich_mushiness v2 168 games, 105515 moves, e=0.896, loss: 4.9, +, 57.1% elo% vs. v0, avg. reward: -10.266, 2.519 sec/game, 2.0 min. total, 877.3 MB
enrich_mushiness v2 169 games, 106212 moves, e=0.895, loss: 4.4, +, 59.0% elo% vs. v0, avg. reward: -10.261, 2.653 sec/game, 2.1 min. total, 877.1 MB
enrich_mushiness v2 170 games, 106956 moves, e=0.894, loss: 4.0, +, 60.8% elo% vs. v0, avg. reward: -10.243, 2.906 sec/game, 2.2 min. total, 878.1 MB
enrich_mushiness v2 171 games, 107667 moves, e=0.893, loss: 3.8, +, 62.5% elo% vs. v0, avg. reward: -10.252, 3.161 sec/game, 2.3 min. total, 878.7 MB
enrich_mushiness v2 172 games, 108388 moves, e=0.893, loss: 3.7, +, 64.1% elo% vs. v0, avg. reward: -10.231, 3.369 sec/game, 2.3 min. total, 878.9 MB
enrich_mushiness v2 174 games, 109638 moves, e=0.891, loss: 3.7, +, 65.6% elo% vs. v0, avg. reward: -10.194, 3.865 sec/game, 2.5 min. total, 879.8 MB
enrich_mushiness v2 175 games, 110480 moves, e=0.891, loss: 3.4, +, 67.0% elo% vs. v0, avg. reward: -10.182, 4.161 sec/game, 2.6 min. total, 880.2 MB
enrich_mushiness v2 177 games, 111475 moves, e=0.890, loss: 3.4, +, 68.4% elo% vs. v0, avg. reward: -10.191, 4.470 sec/game, 2.7 min. total, 881.4 MB
enrich_mushiness v2 178 games, 112227 moves, e=0.889, loss: 3.3, +, 69.6% elo% vs. v0, avg. reward: -10.177, 4.718 sec/game, 2.8 min. total, 881.5 MB
enrich_mushiness v2 180 games, 113385 moves, e=0.888, loss: 3.1, +, 70.8% elo% vs. v0, avg. reward: -10.135, 4.880 sec/game, 3.0 min. total, 882.0 MB
enrich_mushiness v3 182 games, 114389 moves, e=0.887, loss: 3.0, +, 54.5% elo% vs. v2, avg. reward: -10.167, 4.939 sec/game, 3.2 min. total, 963.3 MB
enrich_mushiness v3 183 games, 115158 moves, e=0.886, loss: 3.1, +, 56.6% elo% vs. v2, avg. reward: -10.166, 4.945 sec/game, 3.3 min. total, 963.6 MB
enrich_mushiness v3 184 games, 115848 moves, e=0.885, loss: 3.0, +, 58.5% elo% vs. v2, avg. reward: -10.142, 4.953 sec/game, 3.3 min. total, 964.4 MB
enrich_mushiness v3 185 games, 116611 moves, e=0.885, loss: 3.1, +, 60.4% elo% vs. v2, avg. reward: -10.121, 5.059 sec/game, 3.4 min. total, 965.3 MB
enrich_mushiness v3 186 games, 117529 moves, e=0.884, loss: 3.1, +, 62.1% elo% vs. v2, avg. reward: -10.087, 5.057 sec/game, 3.5 min. total, 967.6 MB
