facial_putdown v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.1 MB
facial_putdown v3 140 games, 103416 moves, e=0.898, loss: 221.2, +, 54.3% elo% vs. v2, avg. reward: 0.717, 1.656 sec/game, 3.6 min. total, 503.8 MB
facial_putdown v3 141 games, 104165 moves, e=0.897, loss: 220.2, +, 56.4% elo% vs. v2, avg. reward: 0.760, 1.662 sec/game, 3.6 min. total, 504.5 MB
facial_putdown v3 142 games, 105056 moves, e=0.896, loss: 236.8, +, 58.3% elo% vs. v2, avg. reward: 0.800, 1.690 sec/game, 3.7 min. total, 504.7 MB
facial_putdown v3 143 games, 105846 moves, e=0.895, loss: 235.4, -, 55.7% elo% vs. v2, avg. reward: 0.844, 1.685 sec/game, 3.7 min. total, 504.4 MB
facial_putdown v3 144 games, 106612 moves, e=0.894, loss: 226.5, +, 57.7% elo% vs. v2, avg. reward: 0.866, 1.699 sec/game, 3.7 min. total, 505.0 MB
facial_putdown v3 145 games, 107214 moves, e=0.894, loss: 232.5, +, 59.6% elo% vs. v2, avg. reward: 0.850, 1.677 sec/game, 3.7 min. total, 505.1 MB
facial_putdown v3 146 games, 107977 moves, e=0.893, loss: 234.0, -, 56.9% elo% vs. v2, avg. reward: 0.853, 1.687 sec/game, 3.8 min. total, 505.2 MB
facial_putdown v3 147 games, 108706 moves, e=0.892, loss: 241.1, +, 58.8% elo% vs. v2, avg. reward: 0.891, 1.677 sec/game, 3.8 min. total, 505.7 MB
facial_putdown v3 148 games, 109473 moves, e=0.892, loss: 237.6, +, 60.7% elo% vs. v2, avg. reward: 0.905, 1.674 sec/game, 3.8 min. total, 506.1 MB
facial_putdown v3 149 games, 110177 moves, e=0.891, loss: 250.6, -, 58.0% elo% vs. v2, avg. reward: 0.878, 1.662 sec/game, 3.8 min. total, 510.9 MB
facial_putdown v3 150 games, 111008 moves, e=0.890, loss: 258.5, +, 59.8% elo% vs. v2, avg. reward: 0.851, 1.656 sec/game, 3.9 min. total, 510.6 MB
facial_putdown v3 151 games, 111904 moves, e=0.889, loss: 251.2, +, 61.6% elo% vs. v2, avg. reward: 0.853, 1.668 sec/game, 3.9 min. total, 513.7 MB
facial_putdown v3 152 games, 112659 moves, e=0.888, loss: 257.3, -, 58.9% elo% vs. v2, avg. reward: 0.868, 1.682 sec/game, 3.9 min. total, 513.4 MB
facial_putdown v3 153 games, 113420 moves, e=0.888, loss: 254.8, +, 60.7% elo% vs. v2, avg. reward: 0.858, 1.694 sec/game, 4.0 min. total, 513.5 MB
facial_putdown v3 154 games, 114165 moves, e=0.887, loss: 263.7, +, 62.4% elo% vs. v2, avg. reward: 0.948, 1.672 sec/game, 4.0 min. total, 513.4 MB
