reflux_snowflake v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.2 MB
reflux_snowflake v3 124 games, 90236 moves, e=0.911, loss: 142.7, -, 8.3% elo% vs. random_no_suicide, avg. reward: 3.503, 1.628 sec/game, 2.8 min. total, 458.2 MB
reflux_snowflake v3 125 games, 90955 moves, e=0.910, loss: 140.9, -, 8.2% elo% vs. random_no_suicide, avg. reward: 3.501, 1.650 sec/game, 2.8 min. total, 458.2 MB
reflux_snowflake v3 126 games, 91660 moves, e=0.909, loss: 136.9, -, 8.1% elo% vs. random_no_suicide, avg. reward: 3.508, 1.675 sec/game, 2.8 min. total, 458.3 MB
reflux_snowflake v3 127 games, 92516 moves, e=0.908, loss: 143.3, -, 8.0% elo% vs. random_no_suicide, avg. reward: 3.506, 1.687 sec/game, 2.9 min. total, 458.2 MB
reflux_snowflake v3 128 games, 93197 moves, e=0.908, loss: 147.8, -, 7.9% elo% vs. random_no_suicide, avg. reward: 3.507, 1.666 sec/game, 2.9 min. total, 458.2 MB
reflux_snowflake v3 129 games, 93877 moves, e=0.907, loss: 154.0, -, 7.8% elo% vs. random_no_suicide, avg. reward: 3.494, 1.666 sec/game, 2.9 min. total, 457.8 MB
reflux_snowflake v3 130 games, 94786 moves, e=0.906, loss: 154.7, -, 7.7% elo% vs. random_no_suicide, avg. reward: 3.489, 1.677 sec/game, 3.0 min. total, 458.4 MB
reflux_snowflake v3 131 games, 95551 moves, e=0.905, loss: 147.8, -, 7.6% elo% vs. random_no_suicide, avg. reward: 3.486, 1.651 sec/game, 3.0 min. total, 460.8 MB
reflux_snowflake v3 132 games, 96229 moves, e=0.905, loss: 150.1, -, 7.5% elo% vs. random_no_suicide, avg. reward: 3.486, 1.625 sec/game, 3.0 min. total, 461.0 MB
reflux_snowflake v3 133 games, 96963 moves, e=0.904, loss: 152.4, -, 7.4% elo% vs. random_no_suicide, avg. reward: 3.482, 1.621 sec/game, 3.0 min. total, 461.8 MB
reflux_snowflake v3 134 games, 97767 moves, e=0.903, loss: 148.5, -, 7.3% elo% vs. random_no_suicide, avg. reward: 3.483, 1.639 sec/game, 3.1 min. total, 461.6 MB
reflux_snowflake v3 135 games, 98452 moves, e=0.903, loss: 144.5, -, 7.2% elo% vs. random_no_suicide, avg. reward: 3.477, 1.631 sec/game, 3.1 min. total, 461.8 MB
reflux_snowflake v3 136 games, 99240 moves, e=0.902, loss: 142.8, -, 7.1% elo% vs. random_no_suicide, avg. reward: 3.484, 1.631 sec/game, 3.1 min. total, 462.0 MB
reflux_snowflake v3 137 games, 99989 moves, e=0.901, loss: 140.0, -, 7.0% elo% vs. random_no_suicide, avg. reward: 3.488, 1.644 sec/game, 3.2 min. total, 461.8 MB
reflux_snowflake v3 138 games, 100768 moves, e=0.900, loss: 138.6, -, 6.9% elo% vs. random_no_suicide, avg. reward: 3.483, 1.640 sec/game, 3.2 min. total, 462.6 MB
reflux_snowflake v3 139 games, 101508 moves, e=0.900, loss: 144.4, -, 6.9% elo% vs. random_no_suicide, avg. reward: 3.481, 1.646 sec/game, 3.2 min. total, 462.1 MB
reflux_snowflake v3 140 games, 102173 moves, e=0.899, loss: 141.6, -, 6.8% elo% vs. random_no_suicide, avg. reward: 3.484, 1.628 sec/game, 3.2 min. total, 462.6 MB
reflux_snowflake v3 141 games, 103027 moves, e=0.898, loss: 138.0, -, 6.7% elo% vs. random_no_suicide, avg. reward: 3.477, 1.638 sec/game, 3.3 min. total, 463.1 MB
reflux_snowflake v3 142 games, 103796 moves, e=0.897, loss: 139.2, -, 6.6% elo% vs. random_no_suicide, avg. reward: 3.479, 1.662 sec/game, 3.3 min. total, 462.5 MB
reflux_snowflake v3 143 games, 104695 moves, e=0.896, loss: 133.6, -, 6.6% elo% vs. random_no_suicide, avg. reward: 3.471, 1.687 sec/game, 3.3 min. total, 462.6 MB
