unlaced_neglector v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.0 MB
unlaced_neglector v3 102 games, 74308 moves, e=0.926, loss: 235.7, +, 47.2% elo% vs. v2, avg. reward: 0.416, 1.740 sec/game, 2.5 min. total, 499.5 MB
unlaced_neglector v3 103 games, 74980 moves, e=0.926, loss: 234.1, +, 49.6% elo% vs. v2, avg. reward: 0.451, 1.744 sec/game, 2.5 min. total, 501.2 MB
unlaced_neglector v3 104 games, 75743 moves, e=0.925, loss: 230.8, -, 47.3% elo% vs. v2, avg. reward: 0.438, 1.762 sec/game, 2.5 min. total, 502.4 MB
unlaced_neglector v3 105 games, 76349 moves, e=0.924, loss: 233.5, -, 45.2% elo% vs. v2, avg. reward: 0.383, 1.753 sec/game, 2.6 min. total, 502.7 MB
unlaced_neglector v3 106 games, 77179 moves, e=0.924, loss: 231.2, -, 43.1% elo% vs. v2, avg. reward: 0.401, 1.743 sec/game, 2.6 min. total, 502.9 MB
unlaced_neglector v3 107 games, 77983 moves, e=0.923, loss: 238.8, +, 45.7% elo% vs. v2, avg. reward: 0.405, 1.789 sec/game, 2.6 min. total, 502.8 MB
unlaced_neglector v3 108 games, 78808 moves, e=0.922, loss: 242.5, -, 43.6% elo% vs. v2, avg. reward: 0.404, 1.803 sec/game, 2.7 min. total, 502.5 MB
unlaced_neglector v3 109 games, 79449 moves, e=0.921, loss: 250.4, -, 41.7% elo% vs. v2, avg. reward: 0.411, 1.794 sec/game, 2.7 min. total, 502.9 MB
unlaced_neglector v3 110 games, 80202 moves, e=0.921, loss: 250.9, +, 44.3% elo% vs. v2, avg. reward: 0.376, 1.781 sec/game, 2.7 min. total, 503.4 MB
unlaced_neglector v3 111 games, 80839 moves, e=0.920, loss: 254.3, -, 42.3% elo% vs. v2, avg. reward: 0.327, 1.777 sec/game, 2.7 min. total, 502.7 MB
unlaced_neglector v3 112 games, 81543 moves, e=0.919, loss: 243.1, -, 40.4% elo% vs. v2, avg. reward: 0.301, 1.771 sec/game, 2.8 min. total, 502.9 MB
unlaced_neglector v3 113 games, 82265 moves, e=0.919, loss: 251.5, -, 38.6% elo% vs. v2, avg. reward: 0.310, 1.765 sec/game, 2.8 min. total, 502.9 MB
unlaced_neglector v3 114 games, 83117 moves, e=0.918, loss: 249.6, -, 37.0% elo% vs. v2, avg. reward: 0.338, 1.768 sec/game, 2.8 min. total, 502.9 MB
unlaced_neglector v3 115 games, 83933 moves, e=0.917, loss: 237.5, +, 39.7% elo% vs. v2, avg. reward: 0.411, 1.767 sec/game, 2.9 min. total, 504.4 MB
unlaced_neglector v3 116 games, 84646 moves, e=0.916, loss: 237.5, +, 42.4% elo% vs. v2, avg. reward: 0.404, 1.763 sec/game, 2.9 min. total, 506.1 MB
unlaced_neglector v3 117 games, 85490 moves, e=0.915, loss: 245.3, +, 45.0% elo% vs. v2, avg. reward: 0.446, 1.777 sec/game, 2.9 min. total, 506.0 MB
unlaced_neglector v3 118 games, 86205 moves, e=0.915, loss: 248.1, +, 47.5% elo% vs. v2, avg. reward: 0.441, 1.761 sec/game, 3.0 min. total, 506.3 MB
unlaced_neglector v3 119 games, 87047 moves, e=0.914, loss: 257.8, +, 49.9% elo% vs. v2, avg. reward: 0.458, 1.769 sec/game, 3.0 min. total, 506.8 MB
unlaced_neglector v3 120 games, 87894 moves, e=0.913, loss: 254.2, +, 52.2% elo% vs. v2, avg. reward: 0.464, 1.788 sec/game, 3.0 min. total, 506.8 MB
unlaced_neglector v3 121 games, 88709 moves, e=0.912, loss: 254.3, -, 49.8% elo% vs. v2, avg. reward: 0.430, 1.828 sec/game, 3.1 min. total, 506.8 MB
unlaced_neglector v3 122 games, 89458 moves, e=0.911, loss: 257.9, +, 52.1% elo% vs. v2, avg. reward: 0.448, 1.786 sec/game, 3.1 min. total, 506.5 MB
unlaced_neglector v3 123 games, 90146 moves, e=0.911, loss: 256.9, +, 54.3% elo% vs. v2, avg. reward: 0.478, 1.797 sec/game, 3.1 min. total, 507.0 MB
unlaced_neglector v3 124 games, 90905 moves, e=0.910, loss: 264.8, +, 56.4% elo% vs. v2, avg. reward: 0.433, 1.799 sec/game, 3.1 min. total, 507.3 MB
unlaced_neglector v3 125 games, 91752 moves, e=0.909, loss: 257.2, +, 58.4% elo% vs. v2, avg. reward: 0.454, 1.815 sec/game, 3.2 min. total, 507.9 MB
unlaced_neglector v3 126 games, 92559 moves, e=0.908, loss: 262.5, +, 60.2% elo% vs. v2, avg. reward: 0.461, 1.841 sec/game, 3.2 min. total, 509.0 MB
unlaced_neglector v3 127 games, 93213 moves, e=0.908, loss: 267.7, -, 57.5% elo% vs. v2, avg. reward: 0.431, 1.824 sec/game, 3.2 min. total, 508.8 MB
unlaced_neglector v3 128 games, 93879 moves, e=0.907, loss: 277.4, -, 54.9% elo% vs. v2, avg. reward: 0.417, 1.806 sec/game, 3.3 min. total, 509.1 MB
unlaced_neglector v3 129 games, 94578 moves, e=0.906, loss: 276.1, -, 52.4% elo% vs. v2, avg. reward: 0.396, 1.809 sec/game, 3.3 min. total, 509.2 MB
unlaced_neglector v3 130 games, 95395 moves, e=0.906, loss: 262.6, +, 54.6% elo% vs. v2, avg. reward: 0.452, 1.817 sec/game, 3.3 min. total, 509.0 MB
unlaced_neglector v3 131 games, 96067 moves, e=0.905, loss: 272.4, ., 54.4% elo% vs. v2, avg. reward: 0.491, 1.809 sec/game, 3.3 min. total, 508.6 MB
unlaced_neglector v3 132 games, 96899 moves, e=0.904, loss: 274.4, ., 54.2% elo% vs. v2, avg. reward: 0.538, 1.814 sec/game, 3.4 min. total, 509.3 MB
unlaced_neglector v3 133 games, 97603 moves, e=0.903, loss: 282.4, -, 51.7% elo% vs. v2, avg. reward: 0.506, 1.813 sec/game, 3.4 min. total, 509.1 MB
unlaced_neglector v3 134 games, 98420 moves, e=0.903, loss: 287.0, +, 53.9% elo% vs. v2, avg. reward: 0.610, 1.803 sec/game, 3.4 min. total, 509.2 MB
unlaced_neglector v3 135 games, 99153 moves, e=0.902, loss: 289.1, -, 51.4% elo% vs. v2, avg. reward: 0.626, 1.806 sec/game, 3.5 min. total, 509.5 MB
unlaced_neglector v3 136 games, 99937 moves, e=0.901, loss: 292.0, -, 49.1% elo% vs. v2, avg. reward: 0.692, 1.826 sec/game, 3.5 min. total, 510.2 MB
unlaced_neglector v3 137 games, 100782 moves, e=0.900, loss: 292.5, +, 51.4% elo% vs. v2, avg. reward: 0.779, 1.830 sec/game, 3.5 min. total, 512.7 MB
unlaced_neglector v3 138 games, 101561 moves, e=0.899, loss: 290.2, +, 53.6% elo% vs. v2, avg. reward: 0.743, 1.844 sec/game, 3.6 min. total, 513.2 MB
unlaced_neglector v3 139 games, 102345 moves, e=0.899, loss: 301.6, +, 55.8% elo% vs. v2, avg. reward: 0.819, 1.840 sec/game, 3.6 min. total, 512.7 MB
unlaced_neglector v3 140 games, 103183 moves, e=0.898, loss: 291.0, +, 57.8% elo% vs. v2, avg. reward: 0.873, 1.858 sec/game, 3.6 min. total, 513.4 MB
unlaced_neglector v3 141 games, 103964 moves, e=0.897, loss: 291.8, +, 59.6% elo% vs. v2, avg. reward: 0.868, 1.846 sec/game, 3.7 min. total, 513.4 MB
unlaced_neglector v3 142 games, 104724 moves, e=0.896, loss: 291.8, +, 61.4% elo% vs. v2, avg. reward: 0.857, 1.864 sec/game, 3.7 min. total, 513.5 MB
unlaced_neglector v3 143 games, 105359 moves, e=0.896, loss: 279.8, +, 63.1% elo% vs. v2, avg. reward: 0.850, 1.855 sec/game, 3.7 min. total, 513.3 MB
unlaced_neglector v3 144 games, 106036 moves, e=0.895, loss: 288.7, +, 64.7% elo% vs. v2, avg. reward: 0.851, 1.850 sec/game, 3.8 min. total, 513.0 MB
unlaced_neglector v3 145 games, 106803 moves, e=0.894, loss: 298.7, +, 66.1% elo% vs. v2, avg. reward: 0.814, 1.855 sec/game, 3.8 min. total, 512.9 MB
unlaced_neglector v3 146 games, 107660 moves, e=0.893, loss: 306.9, +, 67.5% elo% vs. v2, avg. reward: 0.881, 1.841 sec/game, 3.8 min. total, 514.3 MB
unlaced_neglector v3 147 games, 108371 moves, e=0.893, loss: 322.8, -, 64.7% elo% vs. v2, avg. reward: 0.929, 1.837 sec/game, 3.9 min. total, 515.1 MB
unlaced_neglector v3 148 games, 109194 moves, e=0.892, loss: 330.3, ., 64.1% elo% vs. v2, avg. reward: 0.929, 1.864 sec/game, 3.9 min. total, 516.7 MB
unlaced_neglector v3 149 games, 109934 moves, e=0.891, loss: 333.1, +, 65.6% elo% vs. v2, avg. reward: 0.926, 1.860 sec/game, 3.9 min. total, 519.2 MB
unlaced_neglector v3 150 games, 110613 moves, e=0.890, loss: 336.6, +, 67.0% elo% vs. v2, avg. reward: 0.950, 1.846 sec/game, 3.9 min. total, 519.1 MB
