utmost_conform v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.8 MB
utmost_conform v4 135 games, 99618 moves, e=0.901, loss: 5.5, -, 48.6% elo% vs. random_no_suicide, avg. reward: -9.465, 1.786 sec/game, 3.4 min. total, 495.3 MB
utmost_conform v4 136 games, 100433 moves, e=0.901, loss: 5.3, -, 46.4% elo% vs. random_no_suicide, avg. reward: -9.450, 1.789 sec/game, 3.4 min. total, 495.2 MB
utmost_conform v4 137 games, 101215 moves, e=0.900, loss: 5.4, -, 44.3% elo% vs. random_no_suicide, avg. reward: -9.438, 1.789 sec/game, 3.5 min. total, 495.6 MB
utmost_conform v4 138 games, 101957 moves, e=0.899, loss: 5.6, -, 42.3% elo% vs. random_no_suicide, avg. reward: -9.445, 1.788 sec/game, 3.5 min. total, 498.9 MB
utmost_conform v4 139 games, 102693 moves, e=0.898, loss: 5.6, -, 40.4% elo% vs. random_no_suicide, avg. reward: -9.436, 1.787 sec/game, 3.5 min. total, 498.2 MB
utmost_conform v4 140 games, 103376 moves, e=0.898, loss: 5.7, -, 38.6% elo% vs. random_no_suicide, avg. reward: -9.451, 1.778 sec/game, 3.5 min. total, 496.0 MB
utmost_conform v4 141 games, 104228 moves, e=0.897, loss: 5.8, -, 36.9% elo% vs. random_no_suicide, avg. reward: -9.434, 1.792 sec/game, 3.6 min. total, 496.3 MB
utmost_conform v4 142 games, 104891 moves, e=0.896, loss: 5.6, -, 35.4% elo% vs. random_no_suicide, avg. reward: -9.451, 1.780 sec/game, 3.6 min. total, 496.1 MB
utmost_conform v4 143 games, 105564 moves, e=0.895, loss: 5.4, -, 33.9% elo% vs. random_no_suicide, avg. reward: -9.459, 1.780 sec/game, 3.6 min. total, 496.7 MB
utmost_conform v4 144 games, 106596 moves, e=0.894, loss: 5.3, -, 32.5% elo% vs. random_no_suicide, avg. reward: -9.402, 1.801 sec/game, 3.7 min. total, 499.8 MB
utmost_conform v4 145 games, 107251 moves, e=0.894, loss: 5.3, +, 35.3% elo% vs. random_no_suicide, avg. reward: -9.417, 1.803 sec/game, 3.7 min. total, 497.8 MB
utmost_conform v4 146 games, 108032 moves, e=0.893, loss: 5.2, +, 38.1% elo% vs. random_no_suicide, avg. reward: -9.404, 1.817 sec/game, 3.7 min. total, 498.0 MB
