demanding_wow v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 322.9 MB
demanding_wow v3 128 games, 91178 moves, e=0.910, loss: 4.8, +, 56.9% elo% vs. v2, avg. reward: -2.967, 2.082 sec/game, 4.0 min. total, 470.3 MB
demanding_wow v3 129 games, 91914 moves, e=0.909, loss: 4.5, -, 54.3% elo% vs. v2, avg. reward: -2.972, 2.076 sec/game, 4.0 min. total, 470.6 MB
demanding_wow v3 130 games, 92636 moves, e=0.908, loss: 4.4, -, 51.8% elo% vs. v2, avg. reward: -2.979, 2.018 sec/game, 4.0 min. total, 470.6 MB
demanding_wow v3 131 games, 93462 moves, e=0.907, loss: 4.7, +, 54.0% elo% vs. v2, avg. reward: -2.974, 2.038 sec/game, 4.0 min. total, 473.0 MB
demanding_wow v3 132 games, 94328 moves, e=0.907, loss: 5.1, +, 56.1% elo% vs. v2, avg. reward: -2.960, 2.031 sec/game, 4.1 min. total, 472.0 MB
demanding_wow v3 133 games, 95100 moves, e=0.906, loss: 5.6, +, 58.1% elo% vs. v2, avg. reward: -2.952, 2.019 sec/game, 4.1 min. total, 473.8 MB
demanding_wow v3 134 games, 95792 moves, e=0.905, loss: 6.0, +, 60.0% elo% vs. v2, avg. reward: -2.955, 2.037 sec/game, 4.1 min. total, 474.0 MB
demanding_wow v3 135 games, 96432 moves, e=0.905, loss: 6.2, +, 61.7% elo% vs. v2, avg. reward: -2.947, 2.032 sec/game, 4.2 min. total, 472.4 MB
demanding_wow v3 136 games, 97141 moves, e=0.904, loss: 5.4, -, 59.0% elo% vs. v2, avg. reward: -2.944, 2.038 sec/game, 4.2 min. total, 474.4 MB
demanding_wow v3 137 games, 97916 moves, e=0.903, loss: 5.6, +, 60.8% elo% vs. v2, avg. reward: -2.934, 2.018 sec/game, 4.2 min. total, 472.4 MB
demanding_wow v3 138 games, 98687 moves, e=0.902, loss: 5.9, -, 58.1% elo% vs. v2, avg. reward: -2.930, 1.993 sec/game, 4.3 min. total, 475.3 MB
demanding_wow v3 139 games, 99375 moves, e=0.902, loss: 6.0, +, 60.0% elo% vs. v2, avg. reward: -2.921, 1.990 sec/game, 4.3 min. total, 473.1 MB
demanding_wow v3 140 games, 100047 moves, e=0.901, loss: 6.0, +, 61.8% elo% vs. v2, avg. reward: -2.924, 1.948 sec/game, 4.3 min. total, 473.4 MB
demanding_wow v3 141 games, 100725 moves, e=0.900, loss: 6.3, ., 61.2% elo% vs. v2, avg. reward: -2.922, 1.930 sec/game, 4.4 min. total, 476.2 MB
demanding_wow v3 142 games, 101487 moves, e=0.900, loss: 6.0, ., 60.7% elo% vs. v2, avg. reward: -2.925, 1.889 sec/game, 4.4 min. total, 473.8 MB
demanding_wow v3 143 games, 102238 moves, e=0.899, loss: 5.5, +, 62.5% elo% vs. v2, avg. reward: -2.928, 1.885 sec/game, 4.4 min. total, 475.6 MB
demanding_wow v3 144 games, 102960 moves, e=0.898, loss: 5.3, -, 59.7% elo% vs. v2, avg. reward: -2.925, 1.878 sec/game, 4.4 min. total, 475.8 MB
demanding_wow v3 145 games, 103713 moves, e=0.897, loss: 5.1, +, 61.5% elo% vs. v2, avg. reward: -2.919, 1.866 sec/game, 4.5 min. total, 477.9 MB
demanding_wow v3 146 games, 104419 moves, e=0.897, loss: 5.6, -, 58.8% elo% vs. v2, avg. reward: -2.923, 1.841 sec/game, 4.5 min. total, 478.0 MB
demanding_wow v3 147 games, 105163 moves, e=0.896, loss: 6.0, +, 60.6% elo% vs. v2, avg. reward: -2.919, 1.832 sec/game, 4.5 min. total, 476.1 MB
demanding_wow v3 148 games, 105956 moves, e=0.895, loss: 6.2, +, 62.3% elo% vs. v2, avg. reward: -2.916, 1.838 sec/game, 4.6 min. total, 477.8 MB
demanding_wow v3 149 games, 106787 moves, e=0.894, loss: 6.6, +, 63.9% elo% vs. v2, avg. reward: -2.914, 1.841 sec/game, 4.6 min. total, 476.4 MB
demanding_wow v3 150 games, 107624 moves, e=0.893, loss: 6.1, -, 61.2% elo% vs. v2, avg. reward: -2.908, 1.853 sec/game, 4.6 min. total, 477.7 MB
demanding_wow v3 151 games, 108372 moves, e=0.893, loss: 6.4, ., 60.7% elo% vs. v2, avg. reward: -2.902, 1.838 sec/game, 4.7 min. total, 478.4 MB
demanding_wow v3 152 games, 109193 moves, e=0.892, loss: 6.4, +, 62.4% elo% vs. v2, avg. reward: -2.892, 1.851 sec/game, 4.7 min. total, 479.8 MB
demanding_wow v3 153 games, 110039 moves, e=0.891, loss: 6.5, -, 59.7% elo% vs. v2, avg. reward: -2.883, 1.854 sec/game, 4.7 min. total, 480.3 MB
