wasp_emote v6 284 games, 157751 moves, e=0.844, loss: 5.0, -, 26.3% elo% vs. simple_bot, avg. reward: -9.140, 3.336 sec/game, 111.9 min. total, 795.1 MB
wasp_emote v6 286 games, 159186 moves, e=0.842, loss: 5.1, -, 25.4% elo% vs. simple_bot, avg. reward: -9.109, 3.474 sec/game, 112.1 min. total, 795.1 MB
wasp_emote v6 288 games, 160477 moves, e=0.841, loss: 5.1, -, 24.5% elo% vs. simple_bot, avg. reward: -9.102, 3.565 sec/game, 112.2 min. total, 797.0 MB
wasp_emote v6 290 games, 161701 moves, e=0.840, loss: 5.1, -, 23.7% elo% vs. simple_bot, avg. reward: -9.075, 3.664 sec/game, 112.3 min. total, 797.3 MB
wasp_emote v6 292 games, 162993 moves, e=0.839, loss: 5.1, -, 22.9% elo% vs. simple_bot, avg. reward: -9.025, 3.775 sec/game, 112.4 min. total, 797.5 MB
wasp_emote v6 294 games, 164324 moves, e=0.837, loss: 5.2, -, 22.2% elo% vs. simple_bot, avg. reward: -8.969, 3.813 sec/game, 112.6 min. total, 798.3 MB
wasp_emote v6 296 games, 165639 moves, e=0.836, loss: 5.2, -, 21.5% elo% vs. simple_bot, avg. reward: -8.919, 3.827 sec/game, 112.7 min. total, 798.4 MB
wasp_emote v6 298 games, 166992 moves, e=0.835, loss: 5.3, -, 20.8% elo% vs. simple_bot, avg. reward: -8.900, 3.894 sec/game, 112.8 min. total, 798.7 MB
wasp_emote v6 300 games, 168396 moves, e=0.833, loss: 5.3, -, 20.2% elo% vs. simple_bot, avg. reward: -8.856, 3.967 sec/game, 113.0 min. total, 799.6 MB
wasp_emote v7 302 games, 169716 moves, e=0.832, loss: 5.3, -, 47.7% elo% vs. simple_bot, avg. reward: -8.797, 3.997 sec/game, 113.1 min. total, 800.0 MB
wasp_emote v7 304 games, 170850 moves, e=0.831, loss: 5.3, -, 45.5% elo% vs. simple_bot, avg. reward: -8.824, 3.945 sec/game, 113.2 min. total, 803.2 MB
wasp_emote v7 306 games, 172060 moves, e=0.830, loss: 5.3, -, 43.4% elo% vs. simple_bot, avg. reward: -8.791, 3.902 sec/game, 113.4 min. total, 802.5 MB
wasp_emote v7 308 games, 173269 moves, e=0.828, loss: 5.2, -, 41.5% elo% vs. simple_bot, avg. reward: -8.777, 3.856 sec/game, 113.5 min. total, 802.8 MB
